post_id,timestamp,postUser,caption,hashtags,likesCount,commentsCount
11,2023-05-26 12:43:54+00:00,maryleest,Last red carpet in Cannes for “Asteroid City” by Wes Anderson 🤎 Dress @marmarhalim tailored by @saifffoux  Jewelry @yessayan @monaelhajj2377 @amarsana_style Hair @balmainhaircouture Makeup @narsissist  @the_frntal_pr,,27133,144
12,2023-05-31 18:38:50+00:00,stephaniebroek,Villa Magnan <33333,,725,30
13,2023-05-23 18:51:43+00:00,stephaniebroek,"The feminine urge to reinvent yourself during the change of seasons. @himichelleli recently talked about how she has been scared of her closet because she felt weird in her body. Couldn’t relate more atm. While she tried to re-familiarize herself with her own clothing again, I took myself on a vintage/skincare/magazine date. Obsessed over a silver archival Escada jacket and capri pleats @theceiling.shop. Was wowed by @san.serriffe selection of books and magazine. And promised myself to never leave the house without applying @paulaschoicenl new SPF50 ever again",,1618,37
14,2023-05-24 18:27:22+00:00,stephaniebroek,Never not searching for the perfect jeans to add to my wardrobe. May have found the perfect low rise subtle y2k wash @samsoesamsoe </3  /ad,,1271,47
15,2023-05-23 10:49:35+00:00,maryleest,Wearing custom couture flower dress for “Killers of the Flower moon” during Cannes Film Festival ❤️ Dress @tatyanakochnova_official Jewelry @hassanzadeh_jewelry Shoes @casadeiofficial Hair @balmainhaircouture Makeup @thetatithunder @narsissist @the_frntal_pr,,31144,163
16,2023-04-23 19:52:12+00:00,tinaabeysekara,"Save this one! 1 white tee, 6 effortless looks 🥰  Little homage to the @uniqlo U Crew Neck tee. Not sponsored, just a good basic!  #whitetshirtoutfits #Uniqlo #weekendoutfit","whitetshirtoutfits, Uniqlo, weekendoutfit",2364,71
17,2023-05-10 19:16:22+00:00,stephaniebroek,"me BC (Before Cruise) this morning. CE (Cruise Era) me would have worn this @chanelofficial tee with hotpants (or just high-cut leg bikini bottoms), leg warmers, hoops, trainers, and CC logo dumbbells, as suggested by @virginieviard #CHANELCruise #CHANELShow","CHANELCruise, CHANELShow",1042,26
18,2023-05-14 18:43:00+00:00,stephaniebroek,"New level in life unlocked: motherhood. Thank you for making me a mother when I least expected it. The most curious, giggly, expressive little girl. Wearing her future heirloom, the Tiffany Lock bracelet. One day it will be hers 🔒 @tiffanyandco #TiffanyAndCo #TiffanyLock @tiffany_blauw","TiffanyAndCo, TiffanyLock",4162,234
19,2023-05-07 18:25:02+00:00,stephaniebroek,caprani @gubiofficial,,1396,44
20,2023-05-05 14:37:51+00:00,stephaniebroek,something blue <3,,1804,47
21,2023-05-21 18:55:47+00:00,gisele,"I used to think how can I make a difference? I am just one person in this enormous world and there is just too much to do, but early on I understood that to amplify change it is essential to join forces and that trough dedication and collaboration everything is possible. From the bottom of my heart, I want to thank everyone who was at the Luz Alliance Gala yesterday, helping us to support nature. Together we were able to raise funds that will be help so many people and projects in Brazil. A special thanks to the amazing @ivetesangalo , @robinrobertsgma , @ingridsilva and @brazilfound .  As Desmond Tutu said: “Do your little bit of good where you are; it's those little bits of good put together that overwhelm the world.” ❤️🙏✨   Costumava pensar: Como posso fazer a diferença? Sou apenas uma pessoa neste mundo enorme e há tanto para ser feito, mas desde cedo percebi que para amplificar a mudança é fundamental unir forças e que através da dedicação e colaboração, tudo é possível. Do fundo do coração, quero agradecer a todos os que estiveram ontem na Gala da Luz Alliance, ajudando-nos a apoiar a natureza. Juntos conseguimos arrecadar fundos que vão ajudar muitas pessoas e projetos no Brasil. Um agradecimento especial às incríveis @IveteSangalo, @RobinRobertsGMA, @IngridSilva e @brazilfound. Como disse Desmond Tutu: “Faça o seu pouco de bem onde você estiver; são esses pequenos pedaços de bem juntos que inundam o mundo.”",,360447,2720
22,2023-06-05 14:49:32+00:00,gisele,"Mother Nature is our greatest teacher. She shows us that everything is interconnected and interdependent. Her power comes from her diversity and it depends on it for its  survival. Just like with people, our differences are our strengths, and we get stronger when we work together.  Nature doesn’t judge or divide. She nurtures. She reminds us that every form of life is sacred, and important, and has its own special role in creating balance, so all of life can flourish. Nature has the answers--and by observing her, and mirroring back her example, we can all thrive. This is our home, and our choices create our future.  #WorldEnvironmentDay 🌳❤️ 🌎  A Mãe Natureza é a nossa maior professora. Ela nos mostra que tudo está interligado, interconectado. Seu poder vem de sua diversidade e ela depende disso para sobreviver. Assim como com as pessoas, nossas diferenças nos complementam e nos tornamos mais fortes quando trabalhamos juntos.A natureza não julga ou divide. Ela nutre. Ela nos lembra que toda forma de vida é sagrada e importante, e tem seu papel fundamental para trazer equilíbrio para que toda a vida possa florescer. A natureza tem muitas respostas - e, observando-a e seguindo seu exemplo, podemos todos prosperar.Esta é a nossa casa - e as nossas escolhas criam nosso futuro. #DiaMundialdoMeioAmbiente","WorldEnvironmentDay, DiaMundialdoMeioAmbiente",420347,2504
23,2023-05-14 22:12:36+00:00,gisele,"Happy Mother’s Day to all the mom’s out there who with their infinite love can move mountains. Sending you all my love and reverence, especially to my mom , my wonder woman, a warrior who raised six daughters with so much love and care. Love you, mom! ❤️ Feliz Dia das Mães para todas as mamães que com seu amor infinito podem mover montanhas. Envio a vocês todo meu amor e reverência, especialmente para minha mãe, minha mulher maravilha, uma guerreira que criou seis filhas com tanto amor e carinho. Te amo mãe!",,634005,2259
24,2023-05-02 19:32:40+00:00,gisele,"Being back at the Met Gala to honor Karl and his incredible body of work was very special. I feel grateful that I got to know him and had the privilege of  working with him to create so many memories throughout the years. He is dearly missed by so many but his legacy lives on forever. Thank you @Chanelofficial , @GeorgeCortina @DavidVoncannon @Georgisandev  @ashlie_johnson For getting me ready for this amazing night. ✨  Estar de volta ao Met Gala para homenagear Karl e seu incrível trabalho foi muito especial. Me sinto muito grata por tê-lo conhecido e ter tido o privilégio de trabalhar com ele e ter criado tantas boas memórias ao longo dos anos. Ele faz muita falta, mas seu legado será eterno. Obrigada @Chanel, @GeorgeCortina @DavidVoncannon @Georgisandev @ashlie_johnson por me preparar para esta noite tão especial.",,1343038,16342
25,2023-05-04 16:43:31+00:00,gisele,Who is ready for summer?! New @jimmychoo campaign! #JimmyChoo ✨✨✨ Nova campanha de verão da Jimmy Choo.,JimmyChoo,641945,5461
26,2023-04-26 18:23:39+00:00,gisele,"I have no words to express my gratitude for places like the @lotushouseshelter , the largest women's shelter in America, as they provide a haven that allows women and children to heal, reclaim their lives, and build a foundation for the future. I am grateful to help fund the building of the new Children's Village, which will bring education and play, creating new possibilities for children in need. ❤️ Não tenho palavras para expressar o quão grata sou por lugares como a @lotushouseshelter , o maior abrigo para mulheres da América, pois fornecem um refúgio seguro, que permite que mulheres e crianças possam recuperar suas vidas e construir uma base para o futuro. Sou grata por poder ajudar a financiar a construção da nova “Aldeia das Crianças”, um lugar que trará educação e diversão, criando novas possibilidades para as crianças carentes.",,115366,1446
27,2023-06-02 01:50:26+00:00,rhyancaminske,"Happy June!!   Loving these Amazon tanks for the summer. They come in a pack of 3, multiple color options.   #amazonfinds #amazonstyle #summeroutfit #croppedtank #amazonfashion #jeanshorts #levisshorts #casualstyle #everydaystyle #streetstyle #everydayoutfit #momstyle #liketoknowit #liketoknowitstyle #outfitidea #outfitideas #simplestyle #ootd #hairgoals #haircolorinspo #blondehighlights #blondebabylights #haircolorgoals #hairgrowth #blondehaircolor #hairsupplements   Follow my shop @rhyancaminske on the @shop.LTK app to shop this post and get my exclusive app-only content!  #liketkit  @shop.ltk https://liketk.it/4aAPK","amazonfinds, amazonstyle, summeroutfit, croppedtank, amazonfashion, jeanshorts, levisshorts, casualstyle, everydaystyle, streetstyle, everydayoutfit, momstyle, liketoknowit, liketoknowitstyle, outfitidea, outfitideas, simplestyle, ootd, hairgoals, haircolorinspo, blondehighlights, blondebabylights, haircolorgoals, hairgrowth, blondehaircolor, hairsupplements, liketkit",206,21
28,2023-05-15 02:06:35+00:00,rhyancaminske,The ones that call me Mom 🤍,,209,10
29,2023-05-30 00:21:55+00:00,rhyancaminske,❤️🤍💙,,171,6
30,2023-05-17 12:36:01+00:00,rhyancaminske,"Conference things 👩🏼‍💻 A ton of talking, walking, granola bars and the hottest cocktail hour ever.   The MVPs were my loafers. They were so comfortable and super cute! Second were the work pants, I need them in every color!  . . .  #workclothes #workpants #officeoutfit #workoutfit #blazer #workoutfitideas #workflats #loafers #oldnavyfinds #worktravel #worktrip #womensworkpants #womensworkwear #casualstyle #everydaystyle #streetstyle #everydayoutfit #liketoknowit #liketoknowitstyle #outfitidea #outfitideas #simplestyle #ootd #workshoes   Follow my shop @rhyancaminske on the @shop.LTK app to shop this post and get my exclusive app-only content!  #liketkit  @shop.ltk https://liketk.it/49qM2","workclothes, workpants, officeoutfit, workoutfit, blazer, workoutfitideas, workflats, loafers, oldnavyfinds, worktravel, worktrip, womensworkpants, womensworkwear, casualstyle, everydaystyle, streetstyle, everydayoutfit, liketoknowit, liketoknowitstyle, outfitidea, outfitideas, simplestyle, ootd, workshoes, liketkit",122,13
31,2023-06-05 17:44:13+00:00,rhyancaminske,Mondays are great when you love your job 🩶 I’ve been in my new role for 5 months and I have never been happier in my career. I remember I was SO nervous I was making the wrong decision (full blown meltdowns 😩) and now I’m just annoyed I didn’t make the change sooner!  . . Happy Monday everyone!!  . Here are the shoes I’ve been loving for work and just everyday wear.  . .  #businesscasual #workclothes #workoutfit #worktravel #businesstravel #workshoes #workclothes #carryon #carryonsuitcase #blazeroutfit #sales #salescareer #casualstyle #everydaystyle #streetstyle #everydayoutfit #momstyle #liketoknowit #liketoknowitstyle #outfitidea #outfitideas #simplestyle #ootd   Follow my shop @rhyancaminske on the @shop.LTK app to shop this post and get my exclusive app-only content!  #liketkit  @shop.ltk https://liketk.it/4aOag,"businesscasual, workclothes, workoutfit, worktravel, businesstravel, workshoes, carryon, carryonsuitcase, blazeroutfit, sales, salescareer, casualstyle, everydaystyle, streetstyle, everydayoutfit, momstyle, liketoknowit, liketoknowitstyle, outfitidea, outfitideas, simplestyle, ootd, liketkit",101,11
32,2023-05-18 17:17:20+00:00,rhyancaminske,"One of the best parts of being in DC this week was getting to have dinner with my Sister-in-law @heathercaminske and her boyfriend @chasewbarlow 🩵 . . . And obvi a pre-dinner hair selfie, because i’m obsessed with the color.  . . . #hairgoals #haircolorinspo #blondehighlights #blondebabylights #haircolorgoals #lowlights #moneypiece #hairgrowth #blondehaircolor #washingtondc","hairgoals, haircolorinspo, blondehighlights, blondebabylights, haircolorgoals, lowlights, moneypiece, hairgrowth, blondehaircolor, washingtondc",124,9
33,2023-04-21 01:58:57+00:00,rhyancaminske,"TBT because dinner dates with @karrlton are my favorite 👯‍♀️🤍👯‍♂️ the food might be horrible, but we’ll fine as long as the drinks are good 😂 . . . . . #bodysuit #nightoutoutfit #outfitinspo #abercrombiestyle #casualstyle #everydaystyle #streetstyle #everydayoutfit #momstyle #liketoknowit #liketoknowitstyle #outfitidea #outfitideas #simplestyle #ootd #hairgoals #haircolorinspo #blondehighlights #blondebabylights #haircolorgoals #hairgrowth #blondehaircolor   Follow my shop @rhyancaminske on the @shop.LTK app to shop this post and get my exclusive app-only content!  #liketkit  @shop.ltk https://liketk.it/47t5q","bodysuit, nightoutoutfit, outfitinspo, abercrombiestyle, casualstyle, everydaystyle, streetstyle, everydayoutfit, momstyle, liketoknowit, liketoknowitstyle, outfitidea, outfitideas, simplestyle, ootd, hairgoals, haircolorinspo, blondehighlights, blondebabylights, haircolorgoals, hairgrowth, blondehaircolor, liketkit",174,9
34,2023-05-15 02:02:44+00:00,rhyancaminske,Happy Mother’s Day!  Wishing my Mom and sister an extra special Mother’s Day. Love you both so much!,,126,3
35,2023-04-16 14:27:10+00:00,rhyancaminske,"3 ab workouts I have been loving.  I normally hate doing core, because I hate traditional crunches and most of the other moves hurt my lower back. These have made me look forward to doing core.  I just tried a few more new moves this week, that I love and want to share!  For my video people, what do you use to hold your phone when you film in the gym?? . . . . #abworkout #standingabs #coreworkout #corestrength #abworkouts #abworkoutsforwomen #mombod #mombody #abday #coreday #coretraining #coreexercises #abexercises #nvgtnleggings #corestabilitytraining","abworkout, standingabs, coreworkout, corestrength, abworkouts, abworkoutsforwomen, mombod, mombody, abday, coreday, coretraining, coreexercises, abexercises, nvgtnleggings, corestabilitytraining",146,13
36,2023-05-02 18:53:40+00:00,rhyancaminske,"𝟚 𝕞𝕠𝕟𝕥𝕙 progress update of my hair supplements!   There isn’t much of a visible difference, but it definitely feels better! Hair takes forever to grow, but I’m hopeful for the next few months.   The side by side is month 1 and month 2, both pics are my un-styled 3 day old hair. It definitely feels less dry and stronger. Clearly I am due for a cut and color 😂 These almost 2 inch dark brown roots are killing me!   Of you’re interested in trying their products, use code RHYAN for 10% off.  #hairgrowth #haircare #shampoo #supplements #hairgoals #hairproducts #damagedhair #damagedhaircare #damagedhairsolutions #hairsupplement #hairsupplements #growwithgoldie #goldielockshaircare #goldielocks  #haircolorinspo #blondehighlights #blondebabylights #haircolorgoals  #blondehaircolor","hairgrowth, haircare, shampoo, supplements, hairgoals, hairproducts, damagedhair, damagedhaircare, damagedhairsolutions, hairsupplement, hairsupplements, growwithgoldie, goldielockshaircare, goldielocks, haircolorinspo, blondehighlights, blondebabylights, haircolorgoals, blondehaircolor",102,7
37,2023-04-17 18:43:30+00:00,rhyancaminske,"Well since these jeans were such a big hit, I thought I’d let you know they are back in stock in almost all sizes!   They were perfect for our date night to @itakitchenny. If you go, you have to try the deep fried grilled cheese with vodka sauce!   Jeans linked in my stories or DM me and I’ll send it to you 💚  #abercrombiejeans #datenightoutfit #springoutfit #outfitinspo #blazeroutfit #casualstyle #everydaystyle #streetstyle #everydayoutfit #momstyle #liketoknowit #liketoknowitstyle #outfitidea #outfitideas #simplestyle #ootd #longislandeats #longislandfood #summerjewelry   Follow my shop @rhyancaminske on the @shop.LTK app to shop this post and get my exclusive app-only content!  #liketkit  @shop.ltk https://liketk.it/47bd8","abercrombiejeans, datenightoutfit, springoutfit, outfitinspo, blazeroutfit, casualstyle, everydaystyle, streetstyle, everydayoutfit, momstyle, liketoknowit, liketoknowitstyle, outfitidea, outfitideas, simplestyle, ootd, longislandeats, longislandfood, summerjewelry, liketkit",135,10
38,2023-04-20 01:39:11+00:00,rhyancaminske,"Take me back to the warm weather☀️ . . . . .  T-shirt or dress? You decide.   I’m wearing an X Large shirt, use code RHYAN10 for 10% off your order   #graphictee #cowgirl #concertoutfit #Beachcoverup #oversizedtee #blacksunglasses #summeroutfit #summerstyle #beachstyle #blackaviators #outfitidea #casualstyle #everydaystyle #streetstyle #everydayoutfit #momstyle #liketoknowit #liketoknowitstyle #outfitidea #outfitideas #simplestyle #ootd   Follow my shop @rhyancaminske on the @shop.LTK app to shop this post and get my exclusive app-only content!  #liketkit  @shop.ltk https://liketk.it/47nTA","graphictee, cowgirl, concertoutfit, Beachcoverup, oversizedtee, blacksunglasses, summeroutfit, summerstyle, beachstyle, blackaviators, outfitidea, casualstyle, everydaystyle, streetstyle, everydayoutfit, momstyle, liketoknowit, liketoknowitstyle, outfitideas, simplestyle, ootd, liketkit",132,7
39,2023-04-18 14:59:12+00:00,gisele,Nova campanha @vivaraonline ✨ New Vivara’s campaign.,,362493,4089
40,2023-05-21 17:52:26+00:00,stephaniebroek,"ballet flats, parachute pants and this elite @dior bar jacket",,1349,42
41,2023-06-03 12:25:54+00:00,carodaur,"comment your fav look 🤝🏻 1,2,3,4,5 or 6?",,25002,809
42,2023-06-04 19:27:37+00:00,carodaur,about last week #daurdump,daurdump,35122,137
43,2023-05-30 09:58:36+00:00,carodaur,about last week #daurdump,daurdump,52006,282
44,2023-05-29 18:14:32+00:00,camilacoelho,Race weekend 🏁 #F1Monaco  I grew to like F1 with Icaro and now I just loveeeee it too much!  ——— Aprendi a gostar de fórmula 1 com Icaro e agora sou apaixonada! A adrenalina é a demais!  • •  #monacograndprix #f1 #cars #ootd,"F1Monaco, monacograndprix, f1, cars, ootd",101242,284
45,2023-05-27 16:11:39+00:00,camilacoelho,riviera golden hour 🌙   • #ootd #cannes,"ootd, cannes",158048,744
46,2023-06-06 16:21:47+00:00,josefinehj,,,11234,47
47,2023-05-08 13:00:13+00:00,dolcegabbana_beauty,Feeling the #DGSummerVibes in the idyllic Capri setting is the latest limited edition for Him by #DolceGabbana. An energizing blend of Mediterranean citrus and woody undertones.  Photography @stevenbrahms  #DGLightBlue #DGBeauty #MadeinItaly,"DGSummerVibes, DolceGabbana., DGLightBlue, DGBeauty, MadeinItaly",12719,284
48,2023-05-08 19:50:46+00:00,aimeesong,grateful ❤️ @tiffanyandco #MothersDay #TiffanyPartner,"MothersDay, TiffanyPartner",19844,213
49,2023-05-14 18:40:24+00:00,camilacoelho,My first Mother’s Day 🥹💛  I still pinch myself everyday! Kai you are the greatest gift that life has given me!  Happy Mother’s Day to all of the beautiful loving mamas out there!  Wearing the @michaelkors Runway watch and dress! ✨ #MKMothersDay mkpartner  FELIZ DIA DAS MÃES PRA TODAS VOCÊS MAMÃES MARAVILHOSAS!   #mothersday #mom,"MKMothersDay, mothersday, mom",125312,421
50,2023-05-07 16:57:17+00:00,camilacoelho,race weekend mood 🏁❤️ #ootn  Fim de semana de corrida F1 em Miami!   #f1 #f1miami #palmangels,"ootn, f1, f1miami, palmangels",270901,823
51,2023-05-23 22:12:43+00:00,camilacoelho,Riviera touchdown 🇫🇷 #cannes  • Look from @revolve @fwrd ad,cannes,137836,733
52,2023-05-13 19:08:25+00:00,camilacoelho,9 months ago till now 🥹💙 when my biggest dream came true!  ———- Os últimos 9 meses🥹💙 quando meu maior sonho se realizou! #mom #son #family #mothersday,"mom, son, family, mothersday",356527,652
53,2023-05-07 23:55:16+00:00,camilacoelho,Let’s race🏁🏎️ Thanks for having me @ferrari ! Such an epic day at #F1Miami  • @ferraristyle #FerrariStyle #F1 #ferrari,"F1Miami, FerrariStyle, F1, ferrari",338678,981
54,2023-06-04 22:48:49+00:00,everyday.holly,"Happy Sunday! Last weeks Top Sellers!   💥Sales! #1 is on sale in certain colors #3 has 25% off #4 is 15% off + 5% off clickable coupon Click on sizing to see the discounts appear for Amazon pieces.  Discounts can go away at any moment.  Comment LINKS for all the links & sizing info to be sent to you! ⚠️ You will not see my messages if you are not following me or you have your messages restricted in privacy settings.   For reference: I’m 5’1, 109lbs 1 - Free People Freya looksalike - wearing a small TTS  2 - Linen V-neck Jumupsuit - wearing a small TTS 3 - 2 piece skirt set - small TTS 4 - High Waisted Wide Leg Trouser XS short in camel TTS 5 - Linen blend Cropped pants size small - TTS  How to ship my posts: 1 - Click the link in my bio , then click “Shop my Reels & TikTok’s” look for the outfit picture and tap the link to shop. 😊 2 -Comment “LINKS” (no other text or emoji’s) for the links & sizing info.  3 - free LTK app - Follow Everyday.holly Direct Link to type into your browser  https://liketk.it/4aL68   #amazonfashion #top5 #casualoutfits #easyoutfits  #summersandals  #petitefriendly #summeroutfit  #springstyle  #summerstyle  #comfystyle #momstyle  #summerdressses #denimshorts #summerbasics #summerstyle #vacationoutfit  #amazonfashionfinds #amazonfinds #founditonamazon #founditonamazonfashion #targetstyle #targetfashion #petiteoutfit #petitestyle","1, 3, 4, amazonfashion, top5, casualoutfits, easyoutfits, summersandals, petitefriendly, summeroutfit, springstyle, summerstyle, comfystyle, momstyle, summerdressses, denimshorts, summerbasics, vacationoutfit, amazonfashionfinds, amazonfinds, founditonamazon, founditonamazonfashion, targetstyle, targetfashion, petiteoutfit, petitestyle",1308,385
55,2023-05-28 15:12:41+00:00,everyday.holly,"Happy Sunday! Last weeks Top Sellers!   💥Sales! #2 is 25% off!  #3 has a 10% off coupon.  #4 is on sale for $19, reg $26 #5 is 40% off!  Click on sizing to see the discounts appear for Amazon pieces.  Discounts can go away at any moment.  Comment LINKS for all the links & sizing info to be sent to you! ⚠️ Follow me first! You will not see my messages if you are not following me or you have your messages restricted in privacy settings.   For reference: I’m 5’1, 109lbs 1 - V-neck linen blend romper - small TTS  2 - 2 piece skirt set - small TTS 3 - Stretch Activewear shorts XS TTS 4 - Tarte Dab & Go, waterproof root-touch up concealer 5 - Halter neck floral blouse XS TTS  How to ship my posts: 1 - Click the link in my bio , then click “Shop my Reels & TikTok’s” look for the outfit picture and tap the link to shop. 😊 2 -Comment “LINKS” (no other text or emoji’s) for the links & sizing info.  3 - free LTK app - Follow Everyday.holly Direct Link to type into your browser https://liketk.it/4ah1Z   #amazonfashion #top5 #casualoutfits #easyoutfits  #summersandals  #petitefriendly #summeroutfit  #springstyle  #summerstyle  #comfystyle #momstyle  #summerdressses #highwaistedwhiteshorts #summerbasics #summerstyle #vacationoutfit  #amazonfashionfinds #amazonfinds #founditonamazon #founditonamazonfashion #targetstyle #targetfashion #petiteoutfit #petitestyle","2, 3, 4, 5, amazonfashion, top5, casualoutfits, easyoutfits, summersandals, petitefriendly, summeroutfit, springstyle, summerstyle, comfystyle, momstyle, summerdressses, highwaistedwhiteshorts, summerbasics, vacationoutfit, amazonfashionfinds, amazonfinds, founditonamazon, founditonamazonfashion, targetstyle, targetfashion, petiteoutfit, petitestyle",1009,255
56,2023-06-05 13:49:24+00:00,lojafashioncloset,se esfriar a gente já escolheu nosso casaco FAV 🤍,,118,4
57,2023-06-01 15:26:54+00:00,josefinehj,Pj’s and suede 🫶🏼🫶🏼🫶🏼,,11328,66
58,2023-06-02 13:10:53+00:00,josefinehj,,,4864,25
59,2023-05-30 15:56:19+00:00,lojafashioncloset,"TÁ ON! 🚨 o nosso drop FSHN TRIP chegou e já arranca suspiro por onde passa: com modelagens best sellers, caimento PERFEITO, tecido de alta qualidade com estampa exclusiva e claro produzido no Brasil e com muito carinho pra VOCÊ! 🫶🏻",,648,9
60,2023-06-02 15:42:27+00:00,lojafashioncloset,#FSHNLOOK w/ @nahcardoso ❤️ ela usa: calça fshn girl + cropped fshn + cinto… QUEM AMOU?! 👀,FSHNLOOK,479,7
61,2023-05-29 00:07:00+00:00,lojafashioncloset,"/// FSHN TRIP é o nosso novo DROP que chegou e já deixou todas as fashion girls BABANDO! \0/  . . . nosso drop é composto por 4 peças irresistível: vestido midi, vestido curto, body e biquíni… com modelagens must have e cuidadas minuciosamente para ficarem PERFEITASSSS + estampa exclusiva e qualidade FSHN, tudo produzido no Brasil e com muito carinho pra VOCÊ 🫶🏻",,350,9
62,2023-04-20 18:47:30+00:00,stephaniebroek,love an anonymous anti it bag @aestherekme (this is the sac bucket in tabacco) #aestherekme #aedit /partner,"aestherekme, aedit",2306,63
63,2023-04-26 18:23:59+00:00,stephaniebroek,"i can’t wear a @ysl tuxedo and not think about nan kempner, who in 1968 famously dropped the bottom half of yves saint laurent’s revolutionary le smoking when a restaurant denied her access because she was wearing trousers. the socialite played off the jacket as a mini dress and proceeded to dine sans pants, her fabulous legs exposed. a vibe <3 (feeling equally chic in saint laurent resort23)",,1135,108
64,2023-04-10 18:37:24+00:00,stephaniebroek,plan de paris @dior #diorSS23,diorSS23,427,13
65,2023-04-06 18:36:35+00:00,stephaniebroek,2 months later and still thinking about @palomawool,,1802,25
66,2023-03-22 19:12:35+00:00,stephaniebroek,your favorite fashion widow,,899,47
67,2023-03-30 18:33:39+00:00,stephaniebroek,march camera roll with a 6 month old 🫒,,3462,79
68,2023-03-26 18:51:51+00:00,stephaniebroek,"This weekend’s museum fit: @filippa_k tuxedo trousers, yak cardigan and off-white shoulder bag from the SS23 collection /ad",,1897,44
69,2023-03-08 20:17:02+00:00,stephaniebroek,"Last year I was fortunate enough to visit the @maisonmargiela atelier in Paris before it closed down. The building, a former convent in the 11th, I knew by heart from documentaries and books. Furniture covered in white fabric, white paint splatter everywhere from when Martin and his team first moved in.  This season I was invited to the House’s new (and much bigger) HQ in the 16th. It may not have Martin’s soul, but his legacy lives on. It’s in the white fabric covered chairs at the reception, the tabi shaped footprints directing to the elevators, his bottle lamps with blank labels.  But the new HQ also has John Galliano written all over it. To celebrate the move, the basement atelier was turned into an art installation inspired by his short film for the latest Artisanal collection called Cinema Inferno. Thanks so much for showing me around @moakarlsvard and for letting me drool over the AW23 collection (and for bombarding you with questions about what it’s like to work for MM as the fashion nerd I am)",,891,20
70,2023-03-21 19:10:16+00:00,stephaniebroek,"POV: you have the new @filippa_k store all to yourself. Obsessing over the icey blue floors, vintage design (the Rougier shell lamp, the Ducaroy for Ligne Roset sofa), and tapestries in the fitting rooms made from leftover yarn from previous collections. But most of all, the House’s new direction under the helm of new creative director Liisa Kessler. Still all about minimalism and forever pieces, but elevated and undeniably cool",,1821,93
71,2023-03-19 19:29:55+00:00,stephaniebroek,summer me cosplay at home in ss23 @samsoesamsoe until the weather catches up so I’ll be able to wear tanktops and bermuda shorts outside of my apartment too,,1390,54
72,2023-03-22 12:09:04+00:00,gisele,New @vanityfair by 📸 @lachlanbailey styled by @georgecortina . Thank you Michelle Ruiz for coming to CR to spend time with me.✨ Nova @vanityfair por 📸 @lachlanbailey styling por @georgecortina.  Obrigada Michelle Ruiz por vir a CR para passar um tempo comigo.,,359437,4552
