post_id,commentUser,timestamp,polarity,sentiment,keywords_posts,interaction_sequence,description,color,category,style,occasion,keywords
3,annkurtoglyan,2023-05-30 13:42:55+00:00,0.9754,positive,"['dress', 'famous', 'stairs', 'photo', 'jewelry']","[{'post_id': 3, 'timestamp': Timestamp('2023-05-30 13:42:55+0000', tz='UTC'), 'polarity': 0.9754}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
3,gibz_photography,2023-05-30 14:43:44+00:00,0.728,positive,"['dress', 'famous', 'stairs', 'photo', 'jewelry']","[{'post_id': 3, 'timestamp': Timestamp('2023-05-30 14:43:44+0000', tz='UTC'), 'polarity': 0.728}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
3,sashasergeva,2023-05-30 02:27:17+00:00,0.9793,positive,"['dress', 'famous', 'stairs', 'photo', 'jewelry']","[{'post_id': 3, 'timestamp': Timestamp('2023-05-30 02:27:17+0000', tz='UTC'), 'polarity': 0.9793}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
3,verivanovaa,2023-05-30 02:29:51+00:00,0.2019,neutral,"['dress', 'famous', 'stairs', 'photo', 'jewelry']","[{'post_id': 3, 'timestamp': Timestamp('2023-05-30 02:29:51+0000', tz='UTC'), 'polarity': 0.2019}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
3,ileniatoma_,2023-05-30 09:33:28+00:00,0.1436,neutral,"['dress', 'famous', 'stairs', 'photo', 'jewelry']","[{'post_id': 189, 'timestamp': Timestamp('2023-05-19 21:03:38+0000', tz='UTC'), 'polarity': 0.1033}, {'post_id': 3, 'timestamp': Timestamp('2023-05-30 09:33:28+0000', tz='UTC'), 'polarity': 0.1436}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
3,valyamihei,2023-05-30 02:39:04+00:00,0.1141,neutral,"['dress', 'famous', 'stairs', 'photo', 'jewelry']","[{'post_id': 122, 'timestamp': Timestamp('2023-05-16 18:20:54+0000', tz='UTC'), 'polarity': 0.7355}, {'post_id': 3, 'timestamp': Timestamp('2023-05-30 02:39:04+0000', tz='UTC'), 'polarity': 0.1141}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
4,i.amivana,2023-04-16 11:09:17+00:00,-0.025,neutral,"['show', 'chanel', 'fashion', 'visualized', 'moment', 'many', 'times', 'first', 'collection']","[{'post_id': 4, 'timestamp': Timestamp('2023-04-16 11:09:17+0000', tz='UTC'), 'polarity': -0.025}]",a pair of jeans with a chanel logo on the side,,jeans,casual,casual outing,"jeans, casual, casual-outing"
4,bysiss,2023-04-03 08:03:22+00:00,0.3705,neutral,"['show', 'chanel', 'fashion', 'visualized', 'moment', 'many', 'times', 'first', 'collection']","[{'post_id': 67, 'timestamp': Timestamp('2023-04-03 08:03:08+0000', tz='UTC'), 'polarity': 0.3907}, {'post_id': 4, 'timestamp': Timestamp('2023-04-03 08:03:22+0000', tz='UTC'), 'polarity': 0.3705}]",a pair of jeans with a chanel logo on the side,,jeans,casual,casual outing,"jeans, casual, casual-outing"
4,talitakalloe,2023-04-27 13:46:38+00:00,0.7314,positive,"['show', 'chanel', 'fashion', 'visualized', 'moment', 'many', 'times', 'first', 'collection']","[{'post_id': 191, 'timestamp': Timestamp('2023-02-15 07:57:30+0000', tz='UTC'), 'polarity': 0.4959}, {'post_id': 4, 'timestamp': Timestamp('2023-04-27 13:46:38+0000', tz='UTC'), 'polarity': 0.7314}]",a pair of jeans with a chanel logo on the side,,jeans,casual,casual outing,"jeans, casual, casual-outing"
4,lenalovefrank,2023-03-25 15:18:32+00:00,-0.0665,neutral,"['show', 'chanel', 'fashion', 'visualized', 'moment', 'many', 'times', 'first', 'collection']","[{'post_id': 4, 'timestamp': Timestamp('2023-03-25 15:18:32+0000', tz='UTC'), 'polarity': -0.0665}]",a pair of jeans with a chanel logo on the side,,jeans,casual,casual outing,"jeans, casual, casual-outing"
4,fabio__montedoro,2023-03-29 19:34:51+00:00,0.4902,positive,"['show', 'chanel', 'fashion', 'visualized', 'moment', 'many', 'times', 'first', 'collection']","[{'post_id': 105, 'timestamp': Timestamp('2023-03-29 19:34:31+0000', tz='UTC'), 'polarity': 0.8513}, {'post_id': 66, 'timestamp': Timestamp('2023-03-29 19:34:41+0000', tz='UTC'), 'polarity': 0.9499}, {'post_id': 4, 'timestamp': Timestamp('2023-03-29 19:34:51+0000', tz='UTC'), 'polarity': 0.4902}, {'post_id': 135, 'timestamp': Timestamp('2023-05-23 17:26:22+0000', tz='UTC'), 'polarity': 0.4633}, {'post_id': 10, 'timestamp': Timestamp('2023-06-02 10:07:40+0000', tz='UTC'), 'polarity': 0.9073}]",a pair of jeans with a chanel logo on the side,,jeans,casual,casual outing,"jeans, casual, casual-outing"
4,joewest7114,2023-04-02 17:27:36+00:00,-0.0355,neutral,"['show', 'chanel', 'fashion', 'visualized', 'moment', 'many', 'times', 'first', 'collection']","[{'post_id': 319, 'timestamp': Timestamp('2023-03-31 16:56:34+0000', tz='UTC'), 'polarity': 0.0234}, {'post_id': 67, 'timestamp': Timestamp('2023-04-02 17:24:32+0000', tz='UTC'), 'polarity': -0.0317}, {'post_id': 105, 'timestamp': Timestamp('2023-04-02 17:24:49+0000', tz='UTC'), 'polarity': 0.329}, {'post_id': 68, 'timestamp': Timestamp('2023-04-02 17:25:04+0000', tz='UTC'), 'polarity': -0.1642}, {'post_id': 66, 'timestamp': Timestamp('2023-04-02 17:25:51+0000', tz='UTC'), 'polarity': 0.1996}, {'post_id': 70, 'timestamp': Timestamp('2023-04-02 17:26:08+0000', tz='UTC'), 'polarity': 0.2347}, {'post_id': 71, 'timestamp': Timestamp('2023-04-02 17:27:12+0000', tz='UTC'), 'polarity': -0.1275}, {'post_id': 69, 'timestamp': Timestamp('2023-04-02 17:27:25+0000', tz='UTC'), 'polarity': 0.1681}, {'post_id': 4, 'timestamp': Timestamp('2023-04-02 17:27:36+0000', tz='UTC'), 'polarity': -0.0355}]",a pair of jeans with a chanel logo on the side,,jeans,casual,casual outing,"jeans, casual, casual-outing"
4,riot_fox_,2023-03-20 19:39:58+00:00,0.9545,positive,"['show', 'chanel', 'fashion', 'visualized', 'moment', 'many', 'times', 'first', 'collection']","[{'post_id': 4, 'timestamp': Timestamp('2023-03-20 19:39:58+0000', tz='UTC'), 'polarity': 0.9545}]",a pair of jeans with a chanel logo on the side,,jeans,casual,casual outing,"jeans, casual, casual-outing"
4,pellelannefors,2023-05-31 17:23:45+00:00,0.1317,neutral,"['show', 'chanel', 'fashion', 'visualized', 'moment', 'many', 'times', 'first', 'collection']","[{'post_id': 4, 'timestamp': Timestamp('2023-05-31 17:23:45+0000', tz='UTC'), 'polarity': 0.1317}]",a pair of jeans with a chanel logo on the side,,jeans,casual,casual outing,"jeans, casual, casual-outing"
4,carolineebo,2023-03-11 12:17:48+00:00,-0.4753,negative,"['show', 'chanel', 'fashion', 'visualized', 'moment', 'many', 'times', 'first', 'collection']","[{'post_id': 4, 'timestamp': Timestamp('2023-03-11 12:17:48+0000', tz='UTC'), 'polarity': -0.4753}]",a pair of jeans with a chanel logo on the side,,jeans,casual,casual outing,"jeans, casual, casual-outing"
5,christellehawa,2023-05-24 02:58:22+00:00,0.9813,positive,"['cannes', 'cannesfilmfestival', 'got', 'witness', 'historical', 'moment', 'cinema']","[{'post_id': 5, 'timestamp': Timestamp('2023-05-24 02:58:22+0000', tz='UTC'), 'polarity': 0.9813}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
5,tatyanakochnova_official,2023-05-24 07:29:00+00:00,0.2687,neutral,"['cannes', 'cannesfilmfestival', 'got', 'witness', 'historical', 'moment', 'cinema']","[{'post_id': 5, 'timestamp': Timestamp('2023-05-24 07:29:00+0000', tz='UTC'), 'polarity': 0.2687}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
5,burttled,2023-05-24 19:58:32+00:00,-0.3476,neutral,"['cannes', 'cannesfilmfestival', 'got', 'witness', 'historical', 'moment', 'cinema']","[{'post_id': 5, 'timestamp': Timestamp('2023-05-24 19:58:32+0000', tz='UTC'), 'polarity': -0.3476}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
5,sweetmatchaicecreamira,2023-05-24 04:34:15+00:00,0.5911,positive,"['cannes', 'cannesfilmfestival', 'got', 'witness', 'historical', 'moment', 'cinema']","[{'post_id': 5, 'timestamp': Timestamp('2023-05-24 04:34:15+0000', tz='UTC'), 'polarity': 0.5911}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
5,amalia_roumy,2023-05-24 02:58:50+00:00,0.9832,positive,"['cannes', 'cannesfilmfestival', 'got', 'witness', 'historical', 'moment', 'cinema']","[{'post_id': 5, 'timestamp': Timestamp('2023-05-24 02:58:50+0000', tz='UTC'), 'polarity': 0.9832}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
5,amooooreeee_,2023-05-24 07:15:06+00:00,0.9638,positive,"['cannes', 'cannesfilmfestival', 'got', 'witness', 'historical', 'moment', 'cinema']","[{'post_id': 5, 'timestamp': Timestamp('2023-05-24 07:15:06+0000', tz='UTC'), 'polarity': 0.9638}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
5,noha_rached,2023-05-24 02:58:04+00:00,0.915,positive,"['cannes', 'cannesfilmfestival', 'got', 'witness', 'historical', 'moment', 'cinema']","[{'post_id': 5, 'timestamp': Timestamp('2023-05-24 02:58:04+0000', tz='UTC'), 'polarity': 0.915}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
5,myrluka,2023-05-24 07:10:01+00:00,0.8926,positive,"['cannes', 'cannesfilmfestival', 'got', 'witness', 'historical', 'moment', 'cinema']","[{'post_id': 5, 'timestamp': Timestamp('2023-05-24 07:10:01+0000', tz='UTC'), 'polarity': 0.8926}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
5,jane_elhajj,2023-05-24 02:57:42+00:00,0.9546,positive,"['cannes', 'cannesfilmfestival', 'got', 'witness', 'historical', 'moment', 'cinema']","[{'post_id': 5, 'timestamp': Timestamp('2023-05-24 02:57:42+0000', tz='UTC'), 'polarity': 0.9546}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
5,cassaundrarose,2023-05-24 11:49:09+00:00,0.0639,neutral,"['cannes', 'cannesfilmfestival', 'got', 'witness', 'historical', 'moment', 'cinema']","[{'post_id': 5, 'timestamp': Timestamp('2023-05-24 11:49:09+0000', tz='UTC'), 'polarity': 0.0639}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
6,ajgul_agayeva,2023-06-06 11:10:16+00:00,0.6738,positive,"['back', 'home', 'mind', 'still', 'no_hashtag']","[{'post_id': 6, 'timestamp': Timestamp('2023-06-06 11:10:16+0000', tz='UTC'), 'polarity': 0.6738}]",a tweed jacket with a tweed jacket and a tweed jacket,,jacket,casual,casual outing,"jacket, casual, casual-outing"
6,josephinebredsted,2023-06-06 07:03:45+00:00,0.719,positive,"['back', 'home', 'mind', 'still', 'no_hashtag']","[{'post_id': 6, 'timestamp': Timestamp('2023-06-06 07:03:45+0000', tz='UTC'), 'polarity': 0.719}]",a tweed jacket with a tweed jacket and a tweed jacket,,jacket,casual,casual outing,"jacket, casual, casual-outing"
7,20.04th,2023-05-22 20:09:37+00:00,0.9874,positive,"['cannes', 'festival', 'red', 'second', 'film', 'jewelry']","[{'post_id': 7, 'timestamp': Timestamp('2023-05-22 20:09:37+0000', tz='UTC'), 'polarity': 0.9874}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
7,masha_lobanovaa,2023-05-23 21:15:28+00:00,-0.0042,neutral,"['cannes', 'festival', 'red', 'second', 'film', 'jewelry']","[{'post_id': 7, 'timestamp': Timestamp('2023-05-23 21:15:28+0000', tz='UTC'), 'polarity': -0.0042}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
7,pamarias,2023-05-22 23:36:00+00:00,0.9472,positive,"['cannes', 'festival', 'red', 'second', 'film', 'jewelry']","[{'post_id': 7, 'timestamp': Timestamp('2023-05-22 23:36:00+0000', tz='UTC'), 'polarity': 0.9472}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
7,lara_lepp,2023-05-23 03:10:06+00:00,0.7867,positive,"['cannes', 'festival', 'red', 'second', 'film', 'jewelry']","[{'post_id': 7, 'timestamp': Timestamp('2023-05-23 03:10:06+0000', tz='UTC'), 'polarity': 0.7867}, {'post_id': 15, 'timestamp': Timestamp('2023-05-25 09:37:38+0000', tz='UTC'), 'polarity': 0.7867}, {'post_id': 11, 'timestamp': Timestamp('2023-05-28 23:55:55+0000', tz='UTC'), 'polarity': 0.7867}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
7,fela_montparnasse_felappi,2023-05-22 22:45:21+00:00,0.5739,positive,"['cannes', 'festival', 'red', 'second', 'film', 'jewelry']","[{'post_id': 124, 'timestamp': Timestamp('2023-05-11 18:00:27+0000', tz='UTC'), 'polarity': 0.7414}, {'post_id': 122, 'timestamp': Timestamp('2023-05-17 08:20:47+0000', tz='UTC'), 'polarity': 0.018}, {'post_id': 111, 'timestamp': Timestamp('2023-05-19 11:14:41+0000', tz='UTC'), 'polarity': -0.2165}, {'post_id': 7, 'timestamp': Timestamp('2023-05-22 22:45:21+0000', tz='UTC'), 'polarity': 0.5739}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
7,selflover_studio,2023-05-22 23:43:30+00:00,-0.1318,neutral,"['cannes', 'festival', 'red', 'second', 'film', 'jewelry']","[{'post_id': 7, 'timestamp': Timestamp('2023-05-22 23:43:30+0000', tz='UTC'), 'polarity': -0.1318}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
7,sandra_soko,2023-05-23 19:14:23+00:00,0.868,positive,"['cannes', 'festival', 'red', 'second', 'film', 'jewelry']","[{'post_id': 7, 'timestamp': Timestamp('2023-05-23 19:14:23+0000', tz='UTC'), 'polarity': 0.868}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
7,sherylunardi,2023-05-24 01:04:07+00:00,0.0321,neutral,"['cannes', 'festival', 'red', 'second', 'film', 'jewelry']","[{'post_id': 7, 'timestamp': Timestamp('2023-05-24 01:04:07+0000', tz='UTC'), 'polarity': 0.0321}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
7,pr_saymedia,2023-05-22 20:21:15+00:00,-0.042,neutral,"['cannes', 'festival', 'red', 'second', 'film', 'jewelry']","[{'post_id': 7, 'timestamp': Timestamp('2023-05-22 20:21:15+0000', tz='UTC'), 'polarity': -0.042}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
7,gabrielaaamedinaaa,2023-05-22 21:26:07+00:00,0.1033,neutral,"['cannes', 'festival', 'red', 'second', 'film', 'jewelry']","[{'post_id': 7, 'timestamp': Timestamp('2023-05-22 21:26:07+0000', tz='UTC'), 'polarity': 0.1033}, {'post_id': 3, 'timestamp': Timestamp('2023-05-30 06:38:53+0000', tz='UTC'), 'polarity': 0.9789}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
8,sashashviderska,2023-06-03 17:41:10+00:00,0.728,positive,"['chic', 'last', 'summer', 'lived', 'kaftans', 'third', 'look']","[{'post_id': 8, 'timestamp': Timestamp('2023-06-03 17:41:10+0000', tz='UTC'), 'polarity': 0.728}]",a kimono is a garment that is worn by women,,hat,casual,casual outing,"hat, casual, casual-outing"
8,joysworld_,2023-06-03 11:21:17+00:00,0.906,positive,"['chic', 'last', 'summer', 'lived', 'kaftans', 'third', 'look']","[{'post_id': 70, 'timestamp': Timestamp('2023-03-26 19:03:25+0000', tz='UTC'), 'polarity': 0.178}, {'post_id': 70, 'timestamp': Timestamp('2023-03-26 19:03:26+0000', tz='UTC'), 'polarity': -0.0321}, {'post_id': 8, 'timestamp': Timestamp('2023-06-03 11:21:17+0000', tz='UTC'), 'polarity': 0.906}]",a kimono is a garment that is worn by women,,hat,casual,casual outing,"hat, casual, casual-outing"
8,rubyfranken,2023-06-03 06:26:51+00:00,0.2898,neutral,"['chic', 'last', 'summer', 'lived', 'kaftans', 'third', 'look']","[{'post_id': 304, 'timestamp': Timestamp('2022-11-24 18:49:52+0000', tz='UTC'), 'polarity': 0.9528}, {'post_id': 68, 'timestamp': Timestamp('2023-03-27 12:21:22+0000', tz='UTC'), 'polarity': 0.2898}, {'post_id': 8, 'timestamp': Timestamp('2023-06-03 06:26:51+0000', tz='UTC'), 'polarity': 0.2898}]",a kimono is a garment that is worn by women,,hat,casual,casual outing,"hat, casual, casual-outing"
8,flavia.ippoliti,2023-06-03 07:01:01+00:00,0.0892,neutral,"['chic', 'last', 'summer', 'lived', 'kaftans', 'third', 'look']","[{'post_id': 193, 'timestamp': Timestamp('2023-02-18 13:29:28+0000', tz='UTC'), 'polarity': 0.0892}, {'post_id': 190, 'timestamp': Timestamp('2023-03-09 09:43:04+0000', tz='UTC'), 'polarity': 0.0667}, {'post_id': 68, 'timestamp': Timestamp('2023-03-27 16:05:46+0000', tz='UTC'), 'polarity': 0.0519}, {'post_id': 62, 'timestamp': Timestamp('2023-04-22 05:47:59+0000', tz='UTC'), 'polarity': 0.0494}, {'post_id': 213, 'timestamp': Timestamp('2023-05-10 18:53:09+0000', tz='UTC'), 'polarity': 0.9738}, {'post_id': 10, 'timestamp': Timestamp('2023-06-02 11:54:19+0000', tz='UTC'), 'polarity': 0.0494}, {'post_id': 104, 'timestamp': Timestamp('2023-06-02 11:57:35+0000', tz='UTC'), 'polarity': 0.0494}, {'post_id': 8, 'timestamp': Timestamp('2023-06-03 07:01:01+0000', tz='UTC'), 'polarity': 0.0892}]",a kimono is a garment that is worn by women,,hat,casual,casual outing,"hat, casual, casual-outing"
8,maimoun_store,2023-06-04 01:54:01+00:00,0.347,neutral,"['chic', 'last', 'summer', 'lived', 'kaftans', 'third', 'look']","[{'post_id': 14, 'timestamp': Timestamp('2023-05-25 19:47:15+0000', tz='UTC'), 'polarity': 0.2744}, {'post_id': 8, 'timestamp': Timestamp('2023-06-04 01:54:01+0000', tz='UTC'), 'polarity': 0.347}]",a kimono is a garment that is worn by women,,hat,casual,casual outing,"hat, casual, casual-outing"
8,___leipzigrotterdam,2023-06-02 22:40:42+00:00,0.0519,neutral,"['chic', 'last', 'summer', 'lived', 'kaftans', 'third', 'look']","[{'post_id': 8, 'timestamp': Timestamp('2023-06-02 22:40:42+0000', tz='UTC'), 'polarity': 0.0519}]",a kimono is a garment that is worn by women,,hat,casual,casual outing,"hat, casual, casual-outing"
8,frederikeschut,2023-06-05 06:33:22+00:00,0.0205,neutral,"['chic', 'last', 'summer', 'lived', 'kaftans', 'third', 'look']","[{'post_id': 275, 'timestamp': Timestamp('2022-12-29 22:08:57+0000', tz='UTC'), 'polarity': 0.078}, {'post_id': 65, 'timestamp': Timestamp('2023-04-07 06:53:24+0000', tz='UTC'), 'polarity': -0.0294}, {'post_id': 12, 'timestamp': Timestamp('2023-06-01 21:18:09+0000', tz='UTC'), 'polarity': 0.8825}, {'post_id': 8, 'timestamp': Timestamp('2023-06-05 06:33:22+0000', tz='UTC'), 'polarity': 0.0205}]",a kimono is a garment that is worn by women,,hat,casual,casual outing,"hat, casual, casual-outing"
