post_id,postUser,timestamp,likesCount,commentsCount,keywords_posts
88,josefinehj,2023-05-26 13:38:44+00:00,14227,64,"['annonce', 'no_hashtag']"
89,rhyancaminske,2023-03-15 17:34:09+00:00,171,11,"['streetstyle', 'ahhh', 'another', 'nephew', 'max', 'ryan']"
90,josefinehj,2023-05-25 17:56:16+00:00,13126,87,"['summer', 'basics', 'best', 'no_hashtag']"
91,josefinehj,2023-05-25 16:44:58+00:00,5421,33,['no_hashtag']
92,stephaniebroek,2023-04-11 18:43:52+00:00,1561,72,"['spring', 'last', 'wearing', 'cargo', 'pant']"
93,everyday.holly,2023-05-21 13:53:23+00:00,1528,404,"['dress', 'outfit', 'happy', 'sunday', 'last', 'weeks', 'top', 'outfit picture', 'tiktok look', 'look outfit']"
94,rhyancaminske,2023-03-13 17:07:15+00:00,180,15,"['streetstyle', 'march', 'busy', 'birthday', 'month', 'us']"
95,rhyancaminske,2023-03-06 18:17:49+00:00,245,13,"['streetstyle', 'vacation', 'pics', 'round', 'spent', 'one']"
96,rhyancaminske,2023-03-02 01:34:57+00:00,273,27,"['streetstyle', 'take', 'back', 'snow', 'dreadful', 'always']"
97,rhyancaminske,2023-02-27 17:01:02+00:00,304,14,"['streetstyle', 'prepared', 'week', 'full', 'beach', 'pics', 'sunglasses']"
98,rhyancaminske,2023-02-16 19:01:43+00:00,191,10,"['valentine', 'week', 'daughter', 'running', 'around']"
99,rhyancaminske,2023-02-19 20:13:25+00:00,155,17,"['streetstyle', 'counting', 'seconds', 'summer', 'excited', 'starting', 'shorts']"
100,monikh,2023-06-04 09:55:28+00:00,2138,5,"['dress', 'no_hashtag']"
101,monikh,2023-06-04 18:41:01+00:00,5328,35,"['quick', 'rough', 'sewing', 'session', 'taking']"
102,monikh,2023-05-31 17:50:42+00:00,4396,57,"['bathtime', 'moans', 'followed', 'bedtime', 'fight']"
103,monikh,2023-06-01 14:16:55+00:00,6738,50,"['lucy', 'hosts', 'pear', 'no_hashtag']"
104,monikh,2023-05-31 11:51:41+00:00,7303,52,"['faves', 'one', 'no_hashtag']"
105,stephaniebroek,2023-03-27 18:43:31+00:00,1671,47,"['museums', 'mondays', 'iykyk', 'linen', 'blazer']"
106,chiaraferragni,2023-05-17 08:10:07+00:00,843218,2824,"['guys', 'ready', 'ferragnez', 'season', 'straming']"
107,chiaraferragni,2023-06-06 16:44:50+00:00,315080,1113,"['brought', 'kids', 'see', 'new', 'house']"
108,chiaraferragni,2023-02-07 23:45:59+00:00,2172992,15515,"['la', 'gabbia', 'liberare', 'le', 'nuove']"
109,chiaraferragni,2023-06-05 11:19:20+00:00,167978,755,"['little', 'twin', 'no_hashtag']"
110,chiaraferragni,2023-06-06 09:43:05+00:00,326340,574,"['count', 'times', 'wore', 'eyewear', 'collection']"
111,maryleest,2023-05-18 19:59:56+00:00,26650,121,"['cannesfilmfestival', 'dress', 'takes', 'village', 'jewelry']"
112,chiaraferragni,2023-06-05 07:32:24+00:00,145856,779,"['best', 'forte', 'dei', 'marmi', 'no_hashtag']"
113,chiaraferragni,2023-06-04 20:40:20+00:00,343186,1043,"['sunday', 'forte', 'dei', 'marmi', 'folded hands']"
114,gisele,2023-03-30 13:28:25+00:00,734590,5619,"['planting', 'trees', 'regenerating', 'springs', 'depleted']"
115,fashionmuniz,2023-06-06 16:08:02+00:00,9,0,"['tshirt', 'duas', 'cores', 'perfeitas', 'site']"
116,fashionmuniz,2023-06-06 13:37:34+00:00,11,0,"['moletom', 'joy', 'queridinho', 'momento', 'ao']"
117,chiaraferragni,2023-06-04 12:27:16+00:00,391654,1040,"['best', 'days', 'forte', 'dei', 'marmi']"
118,fashionmuniz,2023-06-05 18:03:56+00:00,14,0,"['hey', 'babe', 'nosso', 'camisão', 'brun']"
119,fashionmuniz,2023-06-05 13:09:19+00:00,23,0,"['se', 'prepara', 'look', 'completo', 'calça']"
120,fashionmuniz,2023-06-05 20:11:43+00:00,20,0,"['nossas', 'calças', 'preferidas', 'todas', 'site']"
121,fashionmuniz,2023-06-01 21:23:24+00:00,136,0,"['new', 'babe', 'moletom', 'joy', 'ao']"
122,maryleest,2023-05-16 13:23:24+00:00,26865,116,"['forbes', 'brazil', 'night', 'sparkles', 'no_hashtag']"
123,fashionmuniz,2023-06-02 13:59:29+00:00,18,0,"['esfriou', 'nossos', 'quentinhos', 'estão', 'com']"
124,maryleest,2023-05-10 19:14:02+00:00,33785,125,"['fendi', 'marc', 'jacobs', 'marcjacobsxfendi', 'camera']"
125,maryleest,2023-04-28 16:52:17+00:00,23692,126,"['first', 'glass', 'rossini', 'sign', 'summer', 'sunglasses']"
126,maryleest,2023-05-04 18:33:30+00:00,25201,178,"['gala', 'met', 'night', 'honoring', 'one']"
127,fashionmuniz,2023-06-01 12:38:26+00:00,19,0,"['quentinhos', 'pra', 'você', 'se', 'apaixonar']"
128,fashionmuniz,2023-06-01 14:08:44+00:00,16,0,"['tshirt', 'duas', 'cores', 'perfeitas', 'site']"
129,josefinehj,2023-05-25 09:34:33+00:00,12547,110,"['show', 'annonce', 'last', 'night', 'way', 'isola']"
130,maryleest,2023-04-29 18:26:46+00:00,11389,73,"['didnt', 'think', 'italian', 'summer', 'start']"
131,josefinehj,2023-05-23 14:38:24+00:00,18668,70,"['annonce', 'italian', 'espresso', 'lvcruise', 'lvcruise24']"
132,everyday.holly,2023-05-15 13:24:45+00:00,1534,627,"['dress', 'outfit', 'happy', 'monday', 'hope', 'mama', 'wonderful']"
133,everyday.holly,2023-05-07 21:54:12+00:00,929,188,"['dress', 'outfit', 'last', 'weeks', 'top', 'sellers', 'save', 'shorts', 'outfit picture']"
134,josefinehj,2023-05-24 12:19:32+00:00,4712,12,"['annonce', 'last', 'night', 'beautiful', 'no_hashtag']"
135,josefinehj,2023-05-23 14:20:11+00:00,5275,20,"['italy', 'no_hashtag']"
136,josefinehj,2023-05-23 14:57:40+00:00,21899,95,"['annonce', 'no_hashtag']"
137,maryleest,2023-05-02 19:47:53+00:00,20329,152,"['gala', 'metgala', 'ready', 'sparkle', 'premet', 'cocktail']"
138,maryleest,2023-05-18 18:02:54+00:00,22917,158,"['cannes', 'dress', 'ready', 'first', 'red', 'carpet', 'jewelry']"
139,fashionmuniz,2023-05-25 21:16:31+00:00,32,0,"['calça', 'de', 'couro', 'molly', 'está']"
140,matildadjerf,2023-06-06 18:57:00+00:00,21800,51,"['love', 'story', 'no_hashtag']"
141,fashionmuniz,2023-05-23 18:04:09+00:00,50,0,"['conjunto', 'alicia', 'está', 'de', 'volta']"
142,matildadjerf,2023-06-05 18:31:00+00:00,127390,228,"['sums', 'no_hashtag']"
143,fashionmuniz,2023-05-22 20:31:10+00:00,15,0,"['moletons', 'quentinhos', 'pra', 'você', 'se']"
144,matildadjerf,2023-06-01 17:58:05+00:00,215348,361,"['butterfly', 'ribbon', 'no_hashtag']"
145,matildadjerf,2023-06-03 18:40:05+00:00,257176,347,"['best', 'weekend', 'still', 'tomorrow', 'no_hashtag']"
146,matildadjerf,2023-05-31 18:18:48+00:00,194121,322,"['bff', 'no_hashtag']"
147,matildadjerf,2023-05-30 19:01:41+00:00,108797,121,"['favorite', 'place', 'time', 'day', 'no_hashtag']"
148,fashionmuniz,2023-05-10 17:40:34+00:00,16,0,"['tshirt', 'duas', 'cores', 'perfeitas', 'site']"
149,fashionmuniz,2023-05-10 13:55:01+00:00,32,0,"['trio', 'de', 'calças', 'novas', 'pra']"
150,matildadjerf,2023-05-29 18:47:38+00:00,166233,259,"['ribbon', 'no_hashtag']"
151,fashionmuniz,2023-05-23 13:11:14+00:00,21,0,"['trio', 'de', 'calças', 'novas', 'pra']"
152,chiaraferragni,2023-06-06 13:17:24+00:00,143533,893,"['bikini', 'season', 'finally', 'started', 'still']"
153,matildadjerf,2023-05-28 18:40:12+00:00,258038,317,"['week', 'honey pot', 'sunflower', 'no_hashtag']"
154,matildadjerf,2023-05-27 18:34:24+00:00,90261,176,"['hi', 'ribbon', 'no_hashtag']"
155,matildadjerf,2023-05-26 18:37:41+00:00,233749,274,"['dress', 'no_hashtag']"
156,matildadjerf,2023-05-23 18:46:14+00:00,173091,212,"['hi', 'no_hashtag']"
157,davidgandy_official,2022-11-24 10:05:20+00:00,35064,434,"['awards', 'style', 'proud', 'icon', 'award', 'gq', 'look']"
158,monikh,2023-05-30 19:17:21+00:00,2022,9,"['bits', 'no_hashtag']"
159,monikh,2023-05-27 07:07:58+00:00,8149,52,"['lazy', 'oversized', 'linen', 'degrees', 'no_hashtag']"
160,monikh,2023-05-29 07:25:30+00:00,1934,16,"['rumours', 'true', 'really', 'good', 'say']"
161,monikh,2023-05-30 14:54:21+00:00,9215,46,"['top', 'cargo', 'pants', 'sandals', 'bag']"
162,fashionmuniz,2023-05-26 14:03:50+00:00,25,0,"['courinho', 'voltando', 'com', 'tudo', 'por']"
163,monikh,2023-05-25 10:38:49+00:00,8080,28,"['hour', 'plus', 'beauty', 'bits', 'rotation']"
164,chiaraferragni,2023-06-04 08:29:45+00:00,321404,2097,"['last', 'night', 'no_hashtag']"
165,monikh,2023-05-23 18:56:45+00:00,1519,18,"['lovely', 'lunch', 'people', 'no_hashtag']"
166,davidgandy_official,2022-11-25 21:52:26+00:00,38828,289,"['always', 'championed', 'british', 'brands', 'delighted']"
167,chiaraferragni,2023-06-03 14:07:39+00:00,525948,1076,"['special', 'night', 'starting', 'summer', 'tour']"
168,chiaraferragni,2023-06-02 14:45:35+00:00,308225,1102,"['june', 'st', 'forte', 'dei', 'marmi']"
169,monikh,2023-05-24 07:58:52+00:00,3679,20,"['london', 'dress', 'wear', 'yesterday', 'found', 'semisheer', 'via', 'bag', 'skirt']"
170,chiaraferragni,2023-06-01 09:09:51+00:00,591890,1773,"['january', 'shooting', 'sanremo', 'looks', 'matching']"
171,chiaraferragni,2023-06-03 10:25:53+00:00,549570,981,"['first', 'night', 'forte', 'suppliedbylouisvuitton']"
172,chiaraferragni,2023-06-02 09:52:37+00:00,536808,719,"['today', 'cf', 'summer', 'tour', 'starts']"
173,chiaraferragni,2023-06-01 13:38:58+00:00,829312,2649,"['portofino', 'anniversary', 'episode', 'streaming', 'hope']"
174,chiaraferragni,2023-05-31 13:02:02+00:00,527074,1135,"['last', 'day', 'may', 'no_hashtag']"
175,chiaraferragni,2023-05-31 17:53:39+00:00,286834,1245,['no_hashtag']
176,sincerelyjules,2023-04-22 15:05:00+00:00,149507,483,"['real', 'pregnancy', 'cravings', 'kinds', 'pancakes']"
177,matildadjerf,2023-05-15 18:33:33+00:00,297685,330,"['city', 'summer', 'cocktail glass', 'no_hashtag']"
178,matildadjerf,2023-05-21 18:11:52+00:00,251628,301,"['think', 'beginning', 'no_hashtag']"
179,matildadjerf,2023-05-11 18:52:22+00:00,212867,166,"['house with garden', 'no_hashtag']"
180,matildadjerf,2023-05-16 18:38:34+00:00,176203,191,"['know', 'no_hashtag']"
181,matildadjerf,2023-05-20 18:33:24+00:00,153086,200,"['may', 'butterfly', 'no_hashtag']"
182,matildadjerf,2023-05-17 18:43:01+00:00,132721,182,"['special', 'lunch', 'no_hashtag']"
183,matildadjerf,2023-05-12 18:19:18+00:00,156183,167,"['last', 'weekend', 'cocktail glass', 'no_hashtag']"
184,matildadjerf,2023-05-09 18:32:22+00:00,180890,146,"['poolside', 'dolphin', 'no_hashtag']"
185,matildadjerf,2023-05-18 18:47:57+00:00,143575,167,"['like', 'mother', 'son', 'no_hashtag']"
186,carodaur,2023-05-15 07:01:49+00:00,30679,131,"['last', 'week', 'daurdump']"
187,carodaur,2023-05-13 10:55:42+00:00,42221,320,"['bye', 'new', 'york', 'swipe', 'ny']"
188,matildadjerf,2023-05-14 18:45:03+00:00,169137,209,"['forgot', 'fairy', 'male sign', 'sparkles', 'no_hashtag']"
189,carodaur,2023-05-18 10:45:12+00:00,18078,94,"['secret', 'garden', 'lunch', 'tour', 'guide']"
190,stephaniebroek,2023-03-06 18:32:13+00:00,2551,65,"['show', 'paris', 'back', 'dream', 'aaaaah', 'look']"
191,stephaniebroek,2023-02-14 16:25:23+00:00,3260,96,"['paris', 'else', 'loves', 'hearing', 'met', 'stories']"
192,stephaniebroek,2023-02-22 19:26:09+00:00,3187,65,"['recently', 'facialist', 'complimented', 'skin', 'treatment']"
193,stephaniebroek,2023-02-16 16:39:37+00:00,2103,73,"['celebrated', 'birthday', 'th', 'new', 'season', 'pants']"
194,stephaniebroek,2023-03-03 20:58:46+00:00,2031,55,"['paris', 'lucky', 'girl', 'syndrome', 'edition']"
195,camilacoelho,2023-04-29 17:15:28+00:00,164197,763,"['flourishing', 'ad', 'tulip', 'no_hashtag']"
196,stephaniebroek,2023-02-19 18:57:43+00:00,1628,44,"['perfect', 'black', 'trouser', 'side', 'slay']"
197,stephaniebroek,2023-03-02 15:03:55+00:00,924,36,"['one', 'word', 'review', 'ethereal', 'black']"
198,stephaniebroek,2023-01-18 20:03:51+00:00,2687,49,['no_hashtag']
199,stephaniebroek,2023-01-25 19:11:37+00:00,1466,68,"['beltskirts', 'pants', 'type', 'week', 'no_hashtag']"
200,stephaniebroek,2023-02-05 19:32:39+00:00,1695,70,"['full', 'ann', 'demeulemeester', 'row', 'day', 'skirt']"
201,stephaniebroek,2023-01-09 16:15:43+00:00,1429,45,"['bag', 'coffee', 'table', 'slay', 'no_hashtag']"
202,stephaniebroek,2023-02-06 18:55:07+00:00,1133,38,"['week', 'copenhagen', 'camera', 'roll', 'looks']"
203,camilacoelho,2023-04-22 19:30:23+00:00,107220,374,"['miami', 'nights', 'ootn']"
204,camilacoelho,2023-04-23 21:29:38+00:00,133411,527,"['kai', 'mom', 'dropping', 'arm', 'workout']"
205,matildadjerf,2023-05-10 16:56:37+00:00,185861,270,"['hiiiii', 'soft ice cream', 'butterfly', 'fairy', 'male sign']"
206,camilacoelho,2023-04-18 20:18:58+00:00,162482,565,"['festival', 'fun', 'time', 'revolvefestival', 'weekend', 'next']"
207,matildadjerf,2023-05-05 18:33:56+00:00,147298,142,"['small', 'little', 'pockets', 'day', 'butterfly']"
208,matildadjerf,2023-05-06 17:58:43+00:00,245634,348,"['fairy', 'male sign', 'no_hashtag']"
209,matildadjerf,2023-05-08 18:26:04+00:00,186887,170,"['living', 'no_hashtag']"
210,matildadjerf,2023-05-02 18:43:53+00:00,155715,210,"['highlights', 'last', 'two', 'weeks', 'no_hashtag']"
211,matildadjerf,2023-05-03 19:01:05+00:00,113716,126,"['soooooooon', 'no_hashtag']"
212,josefinehj,2023-05-20 11:23:27+00:00,16645,76,"['spring', 'copenhagen', 'no_hashtag']"
213,matildadjerf,2023-05-07 18:59:00+00:00,220198,228,"['wine glass', 'no_hashtag']"
214,matildadjerf,2023-05-01 18:42:30+00:00,153650,197,"['long', 'weekend', 'home', 'rainbow', 'no_hashtag']"
215,fashionmuniz,2023-05-24 21:47:26+00:00,15,0,"['de', 'volta', 'calça', 'couro', 'jandira']"
216,josefinehj,2023-05-20 14:02:46+00:00,9945,48,"['annonce', 'no_hashtag']"
217,matildadjerf,2023-04-30 18:47:07+00:00,170642,284,"['wing', 'no_hashtag']"
218,josefinehj,2023-05-17 10:04:08+00:00,5466,19,"['elevator', 'check', 'no_hashtag']"
219,matildadjerf,2023-04-28 18:40:14+00:00,177435,223,"['forgot', 'butterfly', 'no_hashtag']"
220,matildadjerf,2023-04-27 18:51:46+00:00,102316,139,"['rainy', 'day', 'april', 'no_hashtag']"
221,chiaraferragni,2023-05-30 10:44:40+00:00,540617,1027,"['prada', 'colorful', 'bag', 'total', 'look', 'today']"
222,matildadjerf,2023-04-26 18:23:36+00:00,121543,182,"['office', 'lately', 'ribbon', 'no_hashtag']"
223,chiaraferragni,2023-05-29 11:39:32+00:00,336161,1411,"['best', 'past', 'days', 'no_hashtag']"
224,chiaraferragni,2023-05-28 16:31:03+00:00,375086,1107,"['good', 'sunday', 'no_hashtag']"
225,chiaraferragni,2023-05-27 15:26:39+00:00,326527,1161,"['saturday', 'lake', 'favorite', 'folded hands', 'no_hashtag']"
226,chiaraferragni,2023-05-26 19:52:24+00:00,249830,935,"['may', 'th', 'no_hashtag']"
227,chiaraferragni,2023-05-26 09:29:35+00:00,269901,1133,"['last', 'night', 'suppliedbylouisvuitton']"
228,lojafashioncloset,2023-05-26 15:40:53+00:00,80,1,"['nike', 'gamma', 'force', 'ta', 'ar']"
229,lojafashioncloset,2023-05-22 00:59:47+00:00,325,4,"['fashion', 'hello', 'girls…', 'pq', 'essa']"
230,chiaraferragni,2023-05-26 14:10:13+00:00,442878,553,"['fashion', 'ieri', 'qualità', 'di', 'copresidente', 'membro', 'fashion trust']"
231,lojafashioncloset,2023-05-18 21:49:07+00:00,571,19,"['photo', 'dump', 'de', 'ontem', 'um']"
232,eleonorabrunaccidivaio,2023-04-16 19:44:05+00:00,63975,241,"['mamma', 'daddy', 'vi', 'faccio', 'una']"
233,eleonorabrunaccidivaio,2023-04-14 17:49:40+00:00,45335,189,"['vorrei', 'bloccare', 'il', 'tempo', 'potervi']"
