post_id,description,color,category,style,occasion,keywords
31,a pair of jeans and a pair of sneakers,,"sneakers, jeans",streetwear,casual outing,"sneakers, jeans, streetwear, casual-outing"
32,a pair of jeans and a t-shirt,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
33,a pair of jeans and a tee shirt,,"shirt, jeans, t-shirt",casual,casual outing,"shirt, jeans, t-shirt, casual, casual-outing"
34,a t-shirt is a garment that is worn by a person to represent their identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
35,a pair of leggings is a pair of leggings that are made of fabric,,"leggings, hat",sporty,casual outing,"leggings, hat, sporty, casual-outing"
36,a pair of jeans,,jeans,casual,casual outing,"jeans, casual, casual-outing"
37,a t-shirt is a piece of clothing that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
38,a t-shirt is a piece of clothing that is worn on a shirt or a shirt,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
39,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
40,"a fashion item is a piece of clothing, jewelry, or accessories that is worn by a person",,"jewelry, hat",casual,casual outing,"jewelry, hat, casual, casual-outing"
41,a white polka dot dress with a white polka dot top and white pants,white,"dress, pants, top",vintage,casual outing,"white, dress, pants, top, vintage, casual-outing"
42,a pair of jeans and a white blouse,white,"blouse, jeans",casual,casual outing,"white, blouse, jeans, casual, casual-outing"
43,a bikini is a piece of clothing worn by a woman,,,casual,beach,"casual, beach, bikini, piece, clothing, worn"
44,a t-shirt is a garment that is worn by a person to express their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
45,a white dress with a white top and a white skirt,white,"dress, skirt, top",elegant,party,"white, dress, skirt, top, elegant, party"
46,a t-shirt is a garment that is worn by a person to represent their identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
47,a white swimsuit is a swimsuit that is white in color,white,hat,formal,beach,"white, hat, formal, beach"
48,a woman wearing a black dress and a black ring,black,dress,elegant,party,"black, dress, elegant, party"
49,a woman in a white dress and a baby boy in a blue shirt,"white, blue","shirt, dress",elegant,party,"white, blue, shirt, dress, elegant, party"
50,a pair of pants with a t-shirt and a pair of sneakers,,"sneakers, t-shirt, shirt",streetwear,casual outing,"sneakers, t-shirt, shirt, streetwear, casual-outing"
51,a pair of purple pants with a thigh high top and a thigh high top,purple,"pants, top",business,work,"purple, pants, top, business, work, high"
52,a pair of jeans with a t-shirt and a pair of jeans with a t-shirt,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
53,a hat is a fashion accessory that can be worn by a woman or a man,,hat,casual,casual outing,"hat, casual, casual-outing"
54,a tan sweater with a tan sweater and a pair of brown boots,"beige, brown","sweater, boots",casual,casual outing,"beige, brown, sweater, boots, casual, casual-outing"
55,a blue jumpsuit with a striped pattern and a sleeveless top,blue,"jumpsuit, top",formal,casual outing,"blue, jumpsuit, top, formal, casual-outing, summer"
56,a white hoodie with a hood,white,hoodie,streetwear,casual outing,"white, hoodie, streetwear, casual-outing"
57,a striped striped shirt with a striped striped shirt and a striped striped shirt,,shirt,casual,casual outing,"shirt, casual, casual-outing, striped"
58,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
59,a swimsuit is a swimsuit that is worn by women,,hat,formal,beach,"hat, formal, beach"
60,a pair of jeans with a tee and a tee,,"jeans, t-shirt",casual,casual outing,"jeans, t-shirt, casual, casual-outing"
61,a dress is a piece of clothing worn by a woman,,dress,elegant,party,"dress, elegant, party"
62,a bag is a bag that is used to carry a bag or other item of clothing,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
63,a white blazer is a blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer,white,"blazer, hat",business,work,"white, blazer, hat, business, work"
64,a bag is a bag that is used to carry a specific item of clothing or other items,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
65,a tweed jacket with a hood,,jacket,casual,casual outing,"jacket, casual, casual-outing"
66,a cape is a garment that is worn over a dress or top,,"dress, top, hat",elegant,party,"dress, top, hat, elegant, party"
67,a black coat coat is a coat that is long and has a collar,black,"coat, hat",casual,casual outing,"black, coat, hat, casual, casual-outing, winter"
68,a black jumpsuit with a striped belt and a striped belt,black,"jumpsuit, belt",formal,casual outing,"black, jumpsuit, belt, formal, casual-outing, striped"
69,a t-shirt with a t-shirt logo,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
70,a pair of jeans with a t-shirt and a pair of jeans with a t-shirt and a pair of jeans with a t-shirt and a pair of jeans with a t-shirt and a pair of jeans with a t-shirt and a pair of jeans with a t-shirt and a pair of jeans with a t-shirt and a pair of jeans with a ,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
71,a pair of shorts,,shorts,casual,casual outing,"shorts, casual, casual-outing, summer"
72,a bikini is a piece of clothing worn by a woman,,,casual,beach,"casual, beach, bikini, piece, clothing, worn"
73,a hat is a fashion accessory that can be worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
74,a shirt is a garment that is worn by a person to represent their identity,,"shirt, hat",casual,casual outing,"shirt, hat, casual, casual-outing"
75,a shawl is a garment worn by a person to cover their body,,,casual,casual outing,"casual, casual-outing, shawl, garment, worn, person"
76,a white shirt with a white tie and white pants,white,"shirt, pants, tie",business,work,"white, shirt, pants, tie, business, work"
77,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
78,a bikini is a swimsuit that is worn by women,,hat,formal,beach,"hat, formal, beach"
79,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
80,a t-shirt is a garment that is worn by a person to show their body,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
81,a white tee shirt with a heart embroidered on the front,white,"shirt, t-shirt",casual,casual outing,"white, shirt, t-shirt, casual, casual-outing"
82,a white blazer jacket is a white blazer jacket with a white blazer and white blazer,white,"jacket, blazer",business,work,"white, jacket, blazer, business, work"
83,a t-shirt with a t-shirt and a pair of jeans,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
84,a hat is a fashion item that is worn by a person to look stylish,,hat,casual,casual outing,"hat, casual, casual-outing"
85,a t-shirt with a t-shirt and a pair of jeans,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
86,a woman wearing a dress with a hat and a scarf,,"dress, scarf, hat",elegant,party,"dress, scarf, hat, elegant, party, winter"
87,a tee shirt with a tee shirt and a tee shirt,,"shirt, t-shirt",casual,casual outing,"shirt, t-shirt, casual, casual-outing"
88,a trench coat is a long coat that has a long sleeve and a long sleeve,,"trench coat, coat, hat",casual,casual outing,"trench coat, coat, hat, casual, casual-outing, winter"
89,a tweed jacket is a jacket that is made of a fabric that is a tweed jacket,,"jacket, hat",casual,casual outing,"jacket, hat, casual, casual-outing"
90,a white blazer is a white blazer that is a white blazer that is white,white,"blazer, hat",business,work,"white, blazer, hat, business, work"
91,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
92,a pair of jeans and a pair of boots,,"jeans, boots",casual,casual outing,"jeans, boots, casual, casual-outing, winter"
93,a sleeveless dress with a sleeveless top and a sleeveless top,,"dress, top",elegant,party,"dress, top, elegant, party, summer"
94,a black leather jacket with a hood,black,jacket,edgy,casual outing,"black, jacket, edgy, casual-outing, autumn, leather"
95,a t-shirt is a garment that is worn by a person to represent their own identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
96,a bikini is a swimsuit that is worn by women,,hat,formal,beach,"hat, formal, beach"
97,a bikini is a swimsuit that is worn by women,,hat,formal,beach,"hat, formal, beach"
98,a pair of jeans with a tee and a sweater,,"sweater, jeans, t-shirt",casual,casual outing,"sweater, jeans, t-shirt, casual, casual-outing, winter"
99,a pair of jeans shorts,,"shorts, jeans",casual,casual outing,"shorts, jeans, casual, casual-outing, summer"
100,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
101,a white dress with a slit in the front and a slit in the back,white,dress,elegant,party,"white, dress, elegant, party"
102,a sleeveless dress with a slit in the front,,dress,elegant,party,"dress, elegant, party, summer"
103,a pair of slouchy jeans and a pair of thigh high boots,,"jeans, boots",casual,casual outing,"jeans, boots, casual, casual-outing, winter, high"
104,a blouse is a piece of clothing worn by a woman,,blouse,casual,casual outing,"blouse, casual, casual-outing"
105,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
106,a t-shirt with a t-shirt and a pair of jeans,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
107,a t-shirt is a garment that is worn by a person to represent their identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
108,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
109,a t-shirt is a garment that is worn by a person to express their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
110,a white sweater with a green hat and a pair of sunglasses,"white, green","sunglasses, sweater, hat",casual,casual outing,"white, green, sunglasses, sweater, hat, casual"
111,a dress is a garment worn by a woman to wear a dress,,dress,elegant,party,"dress, elegant, party"
112,a black dress with a black belt and a black belt,black,"dress, belt",elegant,party,"black, dress, belt, elegant, party"
113,a pair of jeans with a tee shirt and a pair of jeans,,"shirt, jeans, t-shirt",casual,casual outing,"shirt, jeans, t-shirt, casual, casual-outing"
114,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
115,a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
116,a woman wearing a green sweater and jeans,green,"sweater, jeans",casual,casual outing,"green, sweater, jeans, casual, casual-outing, winter"
117,a hat is a piece of clothing worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
118,a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
119,a jacket is a jacket that is worn over a dress or top,,"jacket, dress, top",elegant,party,"jacket, dress, top, elegant, party"
120,a pair of black jeans with a tucked in waistband and a button down shirt,black,"shirt, jeans",casual,casual outing,"black, shirt, jeans, casual, casual-outing, winter"
121,a hoodie,,hoodie,streetwear,casual outing,"hoodie, streetwear, casual-outing"
123,a black sweater with a white slogan on the front,"black, white",sweater,casual,casual outing,"black, white, sweater, casual, casual-outing, winter"
124,a bag is a bag that is used to carry a bag or other item of clothing,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
125,a white dress with a white belt and a white belt,white,"dress, belt",elegant,party,"white, dress, belt, elegant, party"
126,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
127,a woman wearing a white sweater and jeans,white,"sweater, jeans",casual,casual outing,"white, sweater, jeans, casual, casual-outing, winter"
128,a woman wearing a t-shirt with a t-shirt and jeans,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
130,a hat is a fashion accessory that can be worn with a dress or a top,,"dress, top, hat",elegant,party,"dress, top, hat, elegant, party"
131,a white t-shirt with a black polka dot print,"white, black","t-shirt, shirt",casual,casual outing,"white, black, t-shirt, shirt, casual, casual-outing"
132,a sleeveless dress with a sleeveless top and a sleeveless top,,"dress, top",elegant,party,"dress, top, elegant, party, summer"
133,a pair of sandals with a yellow striped pattern,yellow,sandals,casual,casual outing,"yellow, sandals, casual, casual-outing, summer, striped"
134,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
137,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
138,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
139,a black leather jacket with a black leather jacket and black leather pants,black,"jacket, pants",edgy,casual outing,"black, jacket, pants, edgy, casual-outing, autumn"
140,a t-shirt is a garment that is worn by a person to represent their identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
141,a black t-shirt and black pants,black,"t-shirt, shirt, pants",casual,casual outing,"black, t-shirt, shirt, pants, casual, casual-outing"
142,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
143,a black sweatshirt with a black slogan on the front,black,"sweatshirt, shirt",casual,casual outing,"black, sweatshirt, shirt, casual, casual-outing"
144,a dress is a piece of clothing worn by a woman,,dress,elegant,party,"dress, elegant, party"
145,a white dress with a white blouse and white skirt,white,"blouse, dress, skirt",elegant,party,"white, blouse, dress, skirt, elegant, party"
146,a t-shirt is a garment that is worn by a person to express their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
147,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
148,a black tee shirt with a black tee and a black tee,black,"shirt, t-shirt",casual,casual outing,"black, shirt, t-shirt, casual, casual-outing"
149,a pair of jeans,,jeans,casual,casual outing,"jeans, casual, casual-outing"
150,a dress is a piece of clothing worn by a woman,,dress,elegant,party,"dress, elegant, party"
151,a pair of black cargo pants with a slit,black,pants,streetwear,casual outing,"black, pants, streetwear, casual-outing"
152,a bikini is a swimsuit that is worn by women,,hat,formal,beach,"hat, formal, beach"
153,a t-shirt with a t-shirt and a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
154,a white blazer is a white blazer that is a white blazer that is white,white,"blazer, hat",business,work,"white, blazer, hat, business, work"
155,a black dress is a dress that is made of fabric that is black,black,"dress, hat",elegant,party,"black, dress, hat, elegant, party"
156,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
157,a man in a suit and tie,,tie,formal,casual outing,"tie, formal, casual-outing"
158,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
159,a tweed skirt is a skirt that is made of a fabric that is woven into a fabric,,"skirt, hat",casual,casual outing,"skirt, hat, casual, casual-outing"
160,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
161,a white blouse with a striped pattern and a striped tie belt,white,"blouse, belt, tie",casual,casual outing,"white, blouse, belt, tie, casual, casual-outing"
162,a black leather jacket with a hood,black,jacket,edgy,casual outing,"black, jacket, edgy, casual-outing, autumn, leather"
163,a pair of khaki pants with a tan tee and a white tee,"beige, white","pants, t-shirt",casual,casual outing,"beige, white, pants, t-shirt, casual, casual-outing"
164,a sleeveless top with a slit and a slit,,top,casual,casual outing,"top, casual, casual-outing, summer"
165,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
166,a man in a suit and tie,,tie,formal,casual outing,"tie, formal, casual-outing"
167,a blue dress with a slit and a slit,blue,dress,elegant,party,"blue, dress, elegant, party"
168,a bag is a bag that is used to carry a bag or other item of clothing,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
169,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
170,a woman in a dress with a baby in her arms,,dress,elegant,party,"dress, elegant, party"
171,a white dress with a lace top and a slit in the front,white,"dress, top",elegant,party,"white, dress, top, elegant, party, lace"
172,a tee shirt is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a,,"shirt, t-shirt, hat",casual,casual outing,"shirt, t-shirt, hat, casual, casual-outing"
173,a wedding dress is a dress that is worn by a bride and groom,,"dress, hat",elegant,wedding,"dress, hat, elegant, wedding"
174,a tweed jacket with a tweed jacket and a tweed jacket,,jacket,casual,casual outing,"jacket, casual, casual-outing"
175,a hat is a head piece that is worn on the head,,hat,casual,casual outing,"hat, casual, casual-outing"
176,a hat is a piece of clothing worn by a person to protect them from the sun,,hat,casual,casual outing,"hat, casual, casual-outing"
177,a pair of jeans with a t-shirt and a pair of boots,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing, winter"
178,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
179,a white dress with a red bow,"white, red",dress,elegant,party,"white, red, dress, elegant, party"
180,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
181,a sweater is a garment that is worn by a woman,,"sweater, hat",casual,casual outing,"sweater, hat, casual, casual-outing, winter"
182,a sleeveless dress with a slit in the front,,dress,elegant,party,"dress, elegant, party, summer"
183,a black and white dress with a white shawl,"white, black",dress,elegant,party,"white, black, dress, elegant, party"
184,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
185,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
186,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
187,a t-shirt with a t-shirt and a pair of jeans,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
188,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
189,a kimono is a garment worn by women to cover their body,,,casual,casual outing,"casual, casual-outing, kimono, garment, worn, women"
190,a grey jumpsuit with a white shirt and a pair of black boots,"gray, white","jumpsuit, shirt, boots",formal,casual outing,"gray, white, jumpsuit, shirt, boots, formal"
191,a pair of jeans with a pair of boots,,"jeans, boots",casual,casual outing,"jeans, boots, casual, casual-outing, winter"
192,a woman wearing a patterned dress and a pair of pants,,"dress, pants",business,work,"dress, pants, business, work"
193,a t-shirt with a sleeveless collar and a sleeveless collar,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing, summer"
194,a black coat coat is a coat that is long and wide and has a collar,black,"coat, hat",casual,casual outing,"black, coat, hat, casual, casual-outing, winter"
195,a bikini is a swimsuit that is worn by women,,hat,formal,beach,"hat, formal, beach"
196,a bag is a bag that is used to carry a bag or other item,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
197,a pair of boots with a slit and a lace up front,,boots,elegant,casual outing,"boots, elegant, casual-outing, winter, lace, up"
198,a black coat is a type of coat that is worn by women in winter,black,"coat, hat",casual,casual outing,"black, coat, hat, casual, casual-outing, winter"
199,a coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat,,coat,casual,casual outing,"coat, casual, casual-outing, winter"
200,a black coat with a black hood and a black hood,black,coat,casual,casual outing,"black, coat, casual, casual-outing, winter"
201,a coat hangs on a coat rack in a closet,,coat,casual,casual outing,"coat, casual, casual-outing, winter"
202,a white shirt is a garment that is white in color,white,"shirt, hat",casual,casual outing,"white, shirt, hat, casual, casual-outing"
203,a striped dress with a slit and a slit,,dress,elegant,party,"dress, elegant, party, striped"
204,a pink sweater dress with a sleeveless top and a sleeveless top,pink,"sweater, dress, top",elegant,party,"pink, sweater, dress, top, elegant, party"
205,a white striped shirt with a white striped shirt and white striped trousers,white,"pants, shirt",business,work,"white, pants, shirt, business, work, striped"
206,a t-shirt is a garment that is worn by a person to represent their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
207,a bag is a bag that is used to carry a purse or other item of clothing,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
208,a sleeveless dress,,dress,elegant,party,"dress, elegant, party, summer"
209,a hat is a piece of clothing worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
210,a t-shirt is a garment that is worn by a person to express their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
211,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
212,a white blazer jacket is a jacket that is a white jacket with a white collar and a white collar,white,"jacket, blazer, hat",business,work,"white, jacket, blazer, hat, business, work"
213,a white blouse with a white blazer and white trousers,white,"pants, blouse, blazer",business,work,"white, pants, blouse, blazer, business, work"
214,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
215,a black leather jacket with a hood,black,jacket,edgy,casual outing,"black, jacket, edgy, casual-outing, autumn, leather"
216,a t-shirt is a garment that is worn by a person to wear a particular outfit,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
217,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
218,a lace dress is a dress that has a lace bodice and a lace skirt,,"dress, skirt, hat",elegant,party,"dress, skirt, hat, elegant, party, lace"
219,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
220,"a trench coat is a long coat that has a long sleeve and a long sleeve, and is usually made of a light brown or light brown fabric",brown,"trench coat, coat, hat",casual,casual outing,"brown, trench coat, coat, hat, casual, casual-outing"
221,a bag is a bag that is used to carry a purse or other item of clothing,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
222,a t-shirt is a garment that is worn by a person to represent their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
223,a t-shirt is a garment that is worn by a person to represent their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
224,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
225,a white shirt with a black jacket and a pair of sunglasses,"white, black","sunglasses, jacket, shirt",casual,casual outing,"white, black, sunglasses, jacket, shirt, casual"
226,a blue bag is a bag that is blue in color,blue,"bag, hat",casual,casual outing,"blue, bag, hat, casual, casual-outing"
227,a bag is a fashion accessory that can be used to carry a purse or other small bag,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
228,nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air,,,casual,casual outing,"casual, casual-outing, nike, air, force, x"
229,a bikini is a piece of clothing worn by a woman,,,casual,beach,"casual, beach, bikini, piece, clothing, worn"
230,a black dress with a slit and a slit,black,dress,elegant,party,"black, dress, elegant, party"
231,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
232,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
233,a pair of shorts with a t-shirt and a pair of jeans,,"t-shirt, shorts, shirt",casual,casual outing,"t-shirt, shorts, shirt, casual, casual-outing, summer"
234,a t-shirt is a garment that is worn by a person to represent their identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
235,a t-shirt is a garment that is worn by a person to represent their identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
236,a family portrait of a family of four with a baby boy and a baby girl,,,casual,casual outing,"casual, casual-outing, family, baby, portrait, four"
237,a car is a vehicle that is driven by a driver,,hat,casual,casual outing,"hat, casual, casual-outing"
238,a midi dress with a slit and a slit,,dress,elegant,party,"dress, elegant, party, midi"
239,a t-shirt is a piece of clothing that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
