post_id,timestamp,postUser,caption,hashtags,likesCount,commentsCount,mentions,image_description
19,2023-05-07 18:25:02+00:00,stephaniebroek,caprani,no_hashtag,1396,44,gubiofficial,"The image shows a corner of a room with a fireplace. The fireplace is made of black wood and has a large mirror above it. On top of the fireplace, there is a pink bowl and a stack of books. The books are arranged in a way that they are stacked on top of each other. The floor is covered with a patterned rug. A floor lamp with a white shade is placed next to the fireplace."
20,2023-05-05 14:37:51+00:00,stephaniebroek,something blue 3,no_hashtag,1804,47,no_mention,"The image shows a woman standing on a sidewalk in front of a concrete wall. She is wearing a long, grey coat with a high collar and long sleeves. The coat is made of a soft, fuzzy material and has a loose fit. The woman is also wearing a blue button-down shirt underneath the coat and brown trousers. She has a small black purse in her left hand and is wearing black shoes. Her hair is styled in loose waves and she is looking off to the side with a serious expression on her face."
21,2023-05-21 18:55:47+00:00,gisele,i used to think how can i make a difference i am just one person in this enormous world and there is just too much to do but early on i understood that to amplify change it is essential to join forces and that trough dedication and collaboration everything is possible from the bottom of my heart i want to thank everyone who was at the luz alliance gala yesterday helping us to support nature together we were able to raise funds that will be help so many people and projects in brazil a special thanks to the amazing and as desmond tutu said “do your little bit of good where you are its those little bits of good put together that overwhelm the world” ️ costumava pensar como posso fazer a diferença sou apenas uma pessoa neste mundo enorme e há tanto para ser feito mas desde cedo percebi que para amplificar a mudança é fundamental unir forças e que através da dedicação e colaboração tudo é possível do fundo do coração quero agradecer a todos os que estiveram ontem na gala da luz alliance ajudandonos a apoiar a natureza juntos conseguimos arrecadar fundos que vão ajudar muitas pessoas e projetos no brasil um agradecimento especial às incríveis e como disse desmond tutu “faça o seu pouco de bem onde você estiver são esses pequenos pedaços de bem juntos que inundam o mundo”,no_hashtag,360447,2720,ivetesangalo robinrobertsgma ingridsilva brazilfound,"The image shows a woman standing on a stage with her arms raised in the air. She is wearing a long white dress and has a big smile on her face. Behind her, there is a large blue banner with the words ""Ciselle Bandchen & Brazil Foundation"" and ""Luz Fund Miami Gala"" written in white. The stage is decorated with green lights and there are two spotlights on either side of the stage. The woman appears to be posing for a photo at an event."
22,2023-06-05 14:49:32+00:00,gisele,mother nature is our greatest teacher she shows us that everything is interconnected and interdependent her power comes from her diversity and it depends on it for its survival just like with people our differences are our strengths and we get stronger when we work together nature doesn’t judge or divide she nurtures she reminds us that every form of life is sacred and important and has its own special role in creating balance so all of life can flourish nature has the answersand by observing her and mirroring back her example we can all thrive this is our home and our choices create our future ️ a mãe natureza é a nossa maior professora ela nos mostra que tudo está interligado interconectado seu poder vem de sua diversidade e ela depende disso para sobreviver assim como com as pessoas nossas diferenças nos complementam e nos tornamos mais fortes quando trabalhamos juntos a natureza não julga ou divide ela nutre ela nos lembra que toda forma de vida é sagrada e importante e tem seu papel fundamental para trazer equilíbrio para que toda a vida possa florescer a natureza tem muitas respostas e observandoa e seguindo seu exemplo podemos todos prosperar esta é a nossa casa e as nossas escolhas criam nosso futuro,worldenvironmentday diamundialdomeioambiente,420347,2504,no_mention,"The image shows a young woman sitting on a rock in a forest. She is wearing a black sports bra and camouflage leggings. Her hair is tied up in a bun and she is looking up towards the sky with a peaceful expression on her face. The background is filled with tall trees and greenery, and there is a small stream running through the center of the image. The sun is shining through the trees, creating a warm glow on the scene."
23,2023-05-14 22:12:36+00:00,gisele,happy mother’s day to all the mom’s out there who with their infinite love can move mountains sending you all my love and reverence especially to my mom my wonder woman a warrior who raised six daughters with so much love and care love you mom ️ feliz dia das mães para todas as mamães que com seu amor infinito podem mover montanhas envio a vocês todo meu amor e reverência especialmente para minha mãe minha mulher maravilha uma guerreira que criou seis filhas com tanto amor e carinho te amo mãe,no_hashtag,634005,2259,no_mention,"The image shows a family of four sitting on a concrete staircase in a tropical setting. The mother is sitting on the left side of the image, holding a guitar and smiling at the camera. She is wearing a black tank top and shorts, and her hair is styled in loose waves. Next to her, there is a young boy wearing a pink t-shirt and blue shorts, who is leaning over the mother's shoulder. The boy is leaning in to kiss her mother on the cheek. In the background, there are white lounge chairs and a thatched roof hut. The setting appears to be a tropical resort or spa."
24,2023-05-02 19:32:40+00:00,gisele,being back at the met gala to honor karl and his incredible body of work was very special i feel grateful that i got to know him and had the privilege of working with him to create so many memories throughout the years he is dearly missed by so many but his legacy lives on forever thank you for getting me ready for this amazing night estar de volta ao met gala para homenagear karl e seu incrível trabalho foi muito especial me sinto muito grata por têlo conhecido e ter tido o privilégio de trabalhar com ele e ter criado tantas boas memórias ao longo dos anos ele faz muita falta mas seu legado será eterno obrigada por me preparar para esta noite tão especial,no_hashtag,1343038,16342,chanelofficial georgecortina davidvoncannon georgisandev ashlie_johnson chanel,"The image shows a woman standing on a red carpet in a luxurious room with white walls and a chandelier hanging from the ceiling. She is wearing a long, white gown with a high neckline and long sleeves. The gown is made of a sheer, feathery fabric that cascades down to the floor. The bodice of the gown is fitted and the skirt flares out slightly at the bottom. The woman has blonde hair styled in loose waves and is smiling at the camera. She appears to be posing for a photo."
25,2023-05-04 16:43:31+00:00,gisele,who is ready for summer new campaign nova campanha de verão da jimmy choo,jimmychoo,641945,5461,jimmychoo,"The image shows a young woman in a long white dress with a plunging neckline and a thigh-high slit. She is standing in a hallway with white columns and gold accents. The woman is holding a blue clutch in her left hand and has her right arm stretched out to the side, as if she is dancing or celebrating. Her hair is styled in loose waves and she is wearing high heels. She has a big smile on her face and appears to be enjoying herself."
26,2023-04-26 18:23:39+00:00,gisele,i have no words to express my gratitude for places like the the largest womens shelter in america as they provide a haven that allows women and children to heal reclaim their lives and build a foundation for the future i am grateful to help fund the building of the new childrens village which will bring education and play creating new possibilities for children in need ️ não tenho palavras para expressar o quão grata sou por lugares como a o maior abrigo para mulheres da américa pois fornecem um refúgio seguro que permite que mulheres e crianças possam recuperar suas vidas e construir uma base para o futuro sou grata por poder ajudar a financiar a construção da nova “aldeia das crianças” um lugar que trará educação e diversão criando novas possibilidades para as crianças carentes,no_hashtag,115366,1446,lotushouseshelter,"The image shows two young women standing under a white tent. They are both wearing white t-shirts with the words ""Children's Vision"" printed on them. The woman on the left is wearing a pink baseball cap and blue jeans, and is holding a shovel in her right hand. She has blonde hair and is smiling at the camera. The other woman is wearing glasses and is also smiling. In the background, there are other people standing under the tent, and the ground is covered in grass."
27,2023-06-02 01:50:26+00:00,rhyancaminske,happy june loving these amazon tanks for the summer they come in a pack of 3 multiple color options follow my shop on the ltk app to shop this post and get my exclusive apponly content ltk,amazonfinds amazonstyle summeroutfit croppedtank amazonfashion jeanshorts levisshorts casualstyle everydaystyle streetstyle everydayoutfit momstyle liketoknowit liketoknowitstyle outfitidea outfitideas simplestyle ootd hairgoals haircolorinspo blondehighlights blondebabylights haircolorgoals hairgrowth blondehaircolor hairsupplements liketkit,206,21,rhyancaminske shop,"The image is a mirror selfie of a young woman standing in a living room. She is holding her phone up to take the picture, with her right hand resting on her head. The woman is wearing a black tank top and denim shorts, and her blonde hair is styled in loose waves. She appears to be in the middle of a dance move, with one leg bent at the knee and the other extended behind her. In the background, there is a gray armchair and a small round coffee table. The room has a white rug on the floor and a framed picture hanging on the wall."
28,2023-05-15 02:06:35+00:00,rhyancaminske,the ones that call me mom,no_hashtag,209,10,no_mention,"The image shows a mother and two young children standing on a stone pathway in a park. The mother is standing in the center of the image, with the two children on either side of her. The girl on the left is wearing a blue tutu skirt and pink tights, and the girl in the middle is holding a yellow stuffed animal. The boy on the right is standing next to her, wearing a black t-shirt and shorts. In the background, there are trees and a swimming pool. A black dog is walking on the pathway next to the mother."
29,2023-05-30 00:21:55+00:00,rhyancaminske,️,no_hashtag,171,6,no_mention,"The image shows two young children, a boy and a girl, standing in front of a white door on a gray house. The boy is shirtless and wearing red, white, and blue striped swim trunks. The girl is wearing a blue bikini top and red shorts, and has a blue bow in her hair. They are both smiling and looking at the camera. The house has a gray siding and there is a white line marking the entrance."
30,2023-05-17 12:36:01+00:00,rhyancaminske,conference things ‍ a ton of talking walking granola bars and the hottest cocktail hour ever the mvps were my loafers they were so comfortable and super cute second were the work pants i need them in every color follow my shop on the ltk app to shop this post and get my exclusive apponly content ltk,workclothes workpants officeoutfit workoutfit blazer workoutfitideas workflats loafers oldnavyfinds worktravel worktrip womensworkpants womensworkwear casualstyle everydaystyle streetstyle everydayoutfit liketoknowit liketoknowitstyle outfitidea outfitideas simplestyle ootd workshoes liketkit,122,13,rhyancaminske shop,The image is a selfie of a young woman standing in a hallway. She is holding her phone up to take the picture. The woman is wearing a white blazer over a green blouse and beige jeans. She has long blonde hair that is styled in loose waves and is smiling at the camera. The background of the image shows a wall with a painting hanging on it.
31,2023-06-05 17:44:13+00:00,rhyancaminske,mondays are great when you love your job i’ve been in my new role for 5 months and i have never been happier in my career i remember i was so nervous i was making the wrong decision full blown meltdowns and now i’m just annoyed i didn’t make the change sooner happy monday everyone here are the shoes i’ve been loving for work and just everyday wear follow my shop on the ltk app to shop this post and get my exclusive apponly content ltk,businesscasual workclothes workoutfit worktravel businesstravel workshoes carryon carryonsuitcase blazeroutfit sales salescareer casualstyle everydaystyle streetstyle everydayoutfit momstyle liketoknowit liketoknowitstyle outfitidea outfitideas simplestyle ootd liketkit,101,11,rhyancaminske shop,"The image is a mirror selfie of a young woman standing in a hallway. She is holding a red phone in her right hand and is taking the picture with it. The woman is wearing a white long-sleeved shirt, blue jeans, and white sneakers. She has a blue crossbody bag slung over her shoulder and is holding the phone with both hands. In front of her, there is a black suitcase. The hallway has a beige carpet and a white wall with a framed picture hanging on it."
32,2023-05-18 17:17:20+00:00,rhyancaminske,one of the best parts of being in dc this week was getting to have dinner with my sisterinlaw and her boyfriend and obvi a predinner hair selfie because i’m obsessed with the color,hairgoals haircolorinspo blondehighlights blondebabylights haircolorgoals lowlights moneypiece hairgrowth blondehaircolor washingtondc,124,9,heathercaminske chasewbarlow,"The image shows two young women standing side by side on a sidewalk. They are both smiling and posing for the camera. The woman on the left is wearing a blue denim dress and brown sandals, while the woman in the middle is wearing denim shorts and a white blazer. They both have long blonde hair and are standing in front of a brick wall with trees and a building in the background. The sky is blue and the overall mood of the image is happy and relaxed."
33,2023-04-21 01:58:57+00:00,rhyancaminske,tbt because dinner dates with are my favorite ‍️‍️ the food might be horrible but we’ll fine as long as the drinks are good follow my shop on the ltk app to shop this post and get my exclusive apponly content ltk,bodysuit nightoutoutfit outfitinspo abercrombiestyle casualstyle everydaystyle streetstyle everydayoutfit momstyle liketoknowit liketoknowitstyle outfitidea outfitideas simplestyle ootd hairgoals haircolorinspo blondehighlights blondebabylights haircolorgoals hairgrowth blondehaircolor liketkit,174,9,karrlton rhyancaminske shop,"The image shows two young women standing in a restaurant. They are both smiling and posing for the camera. The woman on the left is wearing a white crop top and blue jeans, while the woman in the middle has long blonde hair. Both women are wearing casual clothes and appear to be happy and relaxed. The restaurant has wooden walls and tables and chairs, and there are a few people visible in the background. There are also some decorative items hanging on the walls."
34,2023-05-15 02:02:44+00:00,rhyancaminske,happy mother’s day wishing my mom and sister an extra special mother’s day love you both so much,no_hashtag,126,3,no_mention,"The image shows two women sitting on a brown couch with a baby in between them. The woman on the left is holding the baby in her arms and is wearing a white t-shirt and grey pants. She has long blonde hair and is smiling at the camera. The other woman is sitting next to her, wearing a black top and blue jeans. Both women have curly hair and are wearing glasses. They are sitting close together and appear to be posing for the photo. The background is a plain white wall."
35,2023-04-16 14:27:10+00:00,rhyancaminske,3 ab workouts i have been loving i normally hate doing core because i hate traditional crunches and most of the other moves hurt my lower back these have made me look forward to doing core i just tried a few more new moves this week that i love and want to share for my video people what do you use to hold your phone when you film in the gym,abworkout standingabs coreworkout corestrength abworkouts abworkoutsforwomen mombod mombody abday coreday coretraining coreexercises abexercises nvgtnleggings corestabilitytraining,146,13,no_mention,"The image shows a young woman standing in a gym, holding a mirror and taking a selfie. She is wearing a black sports bra and grey leggings with white sneakers. Her blonde hair is styled in loose waves and she is looking at her phone with a focused expression. In the background, there are various exercise equipment such as dumbbells and weightlifting machines. The text on the image reads ""3 Core exercises I'm loving."""
36,2023-05-02 18:53:40+00:00,rhyancaminske,𝟚 𝕞𝕠𝕟𝕥𝕙 progress update of my hair supplements there isn’t much of a visible difference but it definitely feels better hair takes forever to grow but i’m hopeful for the next few months the side by side is month 1 and month 2 both pics are my unstyled 3 day old hair it definitely feels less dry and stronger clearly i am due for a cut and color these almost 2 inch dark brown roots are killing me of you’re interested in trying their products use code rhyan for 10 off,hairgrowth haircare shampoo supplements hairgoals hairproducts damagedhair damagedhaircare damagedhairsolutions hairsupplement hairsupplements growwithgoldie goldielockshaircare goldielocks haircolorinspo blondehighlights blondebabylights haircolorgoals blondehaircolor,102,7,no_mention,The image is a portrait of a young woman standing in a living room. She is wearing a white long-sleeved top and light blue jeans. Her long blonde hair is styled in loose waves and cascades over her shoulders. She has a big smile on her face and is holding a pair of sunglasses in her right hand. The background shows a staircase and a potted plant. The overall mood of the image is happy and relaxed.
37,2023-04-17 18:43:30+00:00,rhyancaminske,well since these jeans were such a big hit i thought i’d let you know they are back in stock in almost all sizes they were perfect for our date night to if you go you have to try the deep fried grilled cheese with vodka sauce jeans linked in my stories or dm me and i’ll send it to you follow my shop on the ltk app to shop this post and get my exclusive apponly content ltk,abercrombiejeans datenightoutfit springoutfit outfitinspo blazeroutfit casualstyle everydaystyle streetstyle everydayoutfit momstyle liketoknowit liketoknowitstyle outfitidea outfitideas simplestyle ootd longislandeats longislandfood summerjewelry liketkit,135,10,itakitchenny rhyancaminske shop,"The image is a selfie of a young woman standing in a living room. She is holding her phone up to take the picture. The woman is wearing a leopard print crop top and blue jeans. She has long blonde hair and is smiling at the camera. In the background, there is a fireplace and a clock on the wall. The room is decorated with plants and a rug."
38,2023-04-20 01:39:11+00:00,rhyancaminske,take me back to the warm weather️ tshirt or dress you decide i’m wearing an x large shirt use code rhyan10 for 10 off your order follow my shop on the ltk app to shop this post and get my exclusive apponly content ltk,graphictee cowgirl concertoutfit beachcoverup oversizedtee blacksunglasses summeroutfit summerstyle beachstyle blackaviators outfitidea casualstyle everydaystyle streetstyle everydayoutfit momstyle liketoknowit liketoknowitstyle outfitideas simplestyle ootd liketkit,132,7,rhyancaminske shop,"The image shows a young woman standing on a sidewalk in front of a colorful wall. She is wearing a white t-shirt with a graphic design on it and black flip-flops. She has a black crossbody bag slung over her shoulder and is holding a pair of sunglasses in her hand. Her hair is styled in a messy bun and she is looking off to the side with a serious expression on her face. The wall behind her is painted in a combination of green, orange, and white, and there is a white railing on the left side of the image."
39,2023-04-18 14:59:12+00:00,gisele,nova campanha new vivara’s campaign,no_hashtag,362493,4089,vivaraonline,"The image is a portrait of a young woman with long, wavy hair. She is wearing a white strapless top and has multiple rings on her fingers. Her hair is styled in loose waves and falls over her shoulders. She has a serious expression on her face and is looking directly at the camera. The background is plain white, making the woman the focal point of the image."
40,2023-05-21 17:52:26+00:00,stephaniebroek,ballet flats parachute pants and this elite bar jacket,no_hashtag,1349,42,dior,The image shows a person's hand holding a small purse in the back seat of a car. The purse is black with a floral pattern and has a gold chain strap. The person is wearing a ring on their finger and appears to be holding the purse with both hands. The car seat is covered with a black fabric with a pattern of flowers and leaves. The interior of the car is black and there is a gear shift visible on the right side of the image.
41,2023-06-03 12:25:54+00:00,carodaur,comment your fav look 12345 or 6,no_hashtag,25002,809,no_mention,"The image shows a young woman standing in front of a mirror in a bathroom. She is wearing a white tank top and wide-legged white pants with a black belt. She has a pair of sunglasses on and is holding a beige handbag in her right hand. The woman is standing on a pink carpeted floor and there is a white curtain on the right side of the image. In the reflection of the mirror, we can see another woman wearing a black tank top."
42,2023-06-04 19:27:37+00:00,carodaur,about last week,daurdump,35122,137,no_mention,"The image shows two young women standing in a room with a chandelier hanging from the ceiling. The woman on the left is wearing a white crop top and blue jeans, and has blonde hair. She is looking at the other woman with a serious expression on her face. The other woman is standing with her hands in her pockets, wearing a black turtleneck and white jeans. They appear to be engaged in a conversation. The room has a wooden floor and white walls, and there is a large window on the right side of the image."
43,2023-05-30 09:58:36+00:00,carodaur,about last week,daurdump,52006,282,no_mention,The image is a circular mirror hanging on a wooden wall. The mirror is reflecting a young woman in a green bikini. She is standing in front of a bed with a wooden headboard and a nightstand with a lamp. The woman is holding a phone in her right hand and appears to be taking a selfie. She has blonde hair styled in loose waves and is looking directly at the camera with a confident expression.
44,2023-05-29 18:14:32+00:00,camilacoelho,race weekend i grew to like f1 with icaro and now i just loveeeee it too much ——— aprendi a gostar de fórmula 1 com icaro e agora sou apaixonada a adrenalina é a demais • •,f1monaco monacograndprix f1 cars ootd,101242,284,no_mention,"The image shows a young woman standing on a balcony overlooking a city. She is wearing a black and white checkered crop top and beige pants. Her hair is styled in two braids and she is wearing sunglasses. In front of her, she is holding a red and black phone in her hand. The balcony has a pink railing and there are buildings and trees in the background. The sky is blue and the weather appears to be sunny."
45,2023-05-27 16:11:39+00:00,camilacoelho,riviera golden hour •,ootd cannes,158048,744,no_mention,"The image shows a young woman standing on a balcony overlooking the ocean. She is wearing a white off-the-shoulder crop top and a long white skirt. She has long dark hair and is holding a glass of orange juice in her hand. The balcony has a black railing and there is a view of the ocean and palm trees in the background. The sky is orange and pink, indicating that it is either sunrise or sunset. The woman is looking off to the side with a serious expression on her face."
46,2023-06-06 16:21:47+00:00,josefinehj,,no_hashtag,11234,47,no_mention,"The image shows a young woman with long blonde hair, wearing sunglasses, drinking from a wine glass. She is standing in front of a wooden door with a stone wall behind her. The woman is holding the glass with both hands and appears to be taking a sip from it. The glass is filled with a golden-colored liquid, possibly wine, and the woman is looking down at it with a content expression on her face."
47,2023-05-08 13:00:13+00:00,dolcegabbana_beauty,feeling the in the idyllic capri setting is the latest limited edition for him by an energizing blend of mediterranean citrus and woody undertones photography,dgsummervibes dolcegabbana dglightblue dgbeauty madeinitaly,12719,284,stevenbrahms,The image shows a man lying on a sandy beach with the ocean in the background. He is shirtless and wearing white swim shorts with a drawstring waistband. He has a beard and is looking directly at the camera with a serious expression on his face. The man is lying on his back with his arms stretched out to the sides and his legs slightly bent at the knees. The beach is covered in white sand and there is a rocky cliff on the left side of the image. The ocean is visible in the distance with small waves crashing onto the shore.
