post_id,commentUser,timestamp,likes,clean_comment,tokens,polarity,sentiment,tfidf_keywords
3,sashasergeva,2023-05-30 02:27:17+00:00,0.0,love this look,"['love', 'look']",0.9793,positive,"['look', 'love', 'amazing', 'beautiful', 'black_heart']"
4,pellelannefors,2023-05-31 17:23:45+00:00,0.0,ok_hand_medium_skin_tone white_heart smiling_face_with_sunglasses,"['ok_hand_medium_skin_tone', 'white_heart', 'smiling_face_with_sunglasses']",0.1317,neutral,"['white_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
4,talitakalloe,2023-04-27 13:46:38+00:00,0.0,zo terecht you are one of a kind red_heart clapping_hands_medium dark_skin_tone raising_hands_medium dark_skin_tone,"['zo', 'terecht', 'one', 'kind', 'red_heart', 'clapping_hands_medium', 'dark_skin_tone', 'raising_hands_medium', 'dark_skin_tone']",0.7314,positive,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
4,i.amivana,2023-04-16 11:09:17+00:00,0.0,babe what size are you wearing in the denim,"['babe', 'size', 'wearing', 'denim']",-0.025,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
4,bysiss,2023-04-03 08:03:22+00:00,0.0,butterfly butterfly two_hearts two_hearts,"['butterfly', 'butterfly', 'two_hearts', 'two_hearts']",0.3705,neutral,"['two_hearts', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
4,joewest7114,2023-04-02 17:27:36+00:00,0.0,white_heart heart_exclamation heart_on_fire tulip collision,"['white_heart', 'heart_exclamation', 'heart_on_fire', 'tulip', 'collision']",-0.0355,neutral,"['white_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
4,fabio__montedoro,2023-03-29 19:34:51+00:00,0.0,nice black_heart,"['nice', 'black_heart']",0.4902,positive,"['black_heart', 'amazing', 'beautiful', 'blue_heart', 'brown_heart']"
4,lenalovefrank,2023-03-25 15:18:32+00:00,0.0,fire,['fire'],-0.0665,neutral,"['fire', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
4,riot_fox_,2023-03-20 19:39:58+00:00,0.0,love it red_heart,"['love', 'red_heart']",0.9545,positive,"['love', 'red_heart', 'amazing', 'beautiful', 'black_heart']"
4,carolineebo,2023-03-11 12:17:48+00:00,0.0,obsessed,['obsessed'],-0.4753,negative,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
5,burttled,2023-05-24 19:58:32+00:00,0.0,маша ты королева broken_heart,"['маша', 'ты', 'королева', 'broken_heart']",-0.3476,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
5,cassaundrarose,2023-05-24 11:49:09+00:00,0.0,heart_on_fire heart_on_fire heart_on_fire,"['heart_on_fire', 'heart_on_fire', 'heart_on_fire']",0.0639,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
5,tatyanakochnova_official,2023-05-24 07:29:00+00:00,0.0,perfect match broken_heart,"['perfect', 'match', 'broken_heart']",0.2687,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
5,amooooreeee_,2023-05-24 07:15:06+00:00,0.0,gorgeous red_heart red_heart red_heart,"['gorgeous', 'red_heart', 'red_heart', 'red_heart']",0.9638,positive,"['red_heart', 'gorgeous', 'amazing', 'beautiful', 'black_heart']"
5,myrluka,2023-05-24 07:10:01+00:00,0.0,dreams come true smiling_face_with_heart eyes fire,"['dreams', 'come', 'true', 'smiling_face_with_heart', 'eyes', 'fire']",0.8926,positive,"['fire', 'smiling_face_with_heart', 'eyes', 'amazing', 'beautiful']"
5,sweetmatchaicecreamira,2023-05-24 04:34:15+00:00,0.0,si belle red_heart smiling_face_with_heart eyes,"['si', 'belle', 'red_heart', 'smiling_face_with_heart', 'eyes']",0.5911,positive,"['smiling_face_with_heart', 'eyes', 'red_heart', 'amazing', 'beautiful']"
5,amalia_roumy,2023-05-24 02:58:50+00:00,0.0,love it so much smiling_face_with_heart eyes,"['love', 'much', 'smiling_face_with_heart', 'eyes']",0.9832,positive,"['love', 'smiling_face_with_heart', 'eyes', 'amazing', 'beautiful']"
5,christellehawa,2023-05-24 02:58:22+00:00,0.0,wow so beautiful hundred_points,"['wow', 'beautiful', 'hundred_points']",0.9813,positive,"['wow', 'beautiful', 'amazing', 'black_heart', 'blue_heart']"
5,noha_rached,2023-05-24 02:58:04+00:00,0.0,so elegant and classy fire,"['elegant', 'classy', 'fire']",0.915,positive,"['fire', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
5,jane_elhajj,2023-05-24 02:57:42+00:00,0.0,red suits you so much red_heart,"['red', 'suits', 'much', 'red_heart']",0.9546,positive,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
6,ajgul_agayeva,2023-06-06 11:10:16+00:00,0.0,derde foto smelt smiling_face_with_heart eyes,"['derde', 'foto', 'smelt', 'smiling_face_with_heart', 'eyes']",0.6738,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
6,josephinebredsted,2023-06-06 07:03:45+00:00,0.0,olive smiling_face_with_heart eyes olive red_heart,"['olive', 'smiling_face_with_heart', 'eyes', 'olive', 'red_heart']",0.719,positive,"['smiling_face_with_heart', 'eyes', 'red_heart', 'amazing', 'beautiful']"
7,sherylunardi,2023-05-24 01:04:07+00:00,0.0,,[],0.0321,neutral,[]
7,masha_lobanovaa,2023-05-23 21:15:28+00:00,1.0,прекрасна red_heart,"['прекрасна', 'red_heart']",-0.0042,neutral,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
7,sandra_soko,2023-05-23 19:14:23+00:00,0.0,smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes']",0.868,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
7,lara_lepp,2023-05-23 03:10:06+00:00,0.0,smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes']",0.7867,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
7,selflover_studio,2023-05-22 23:43:30+00:00,0.0,красота raising_hands red_heart fire,"['красота', 'raising_hands', 'red_heart', 'fire']",-0.1318,neutral,"['raising_hands', 'fire', 'red_heart', 'amazing', 'beautiful']"
7,pamarias,2023-05-22 23:36:00+00:00,1.0,stunning smiling_face_with_heart eyes,"['stunning', 'smiling_face_with_heart', 'eyes']",0.9472,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
7,fela_montparnasse_felappi,2023-05-22 22:45:21+00:00,0.0,the queen of cannes festival,"['queen', 'cannes', 'festival']",0.5739,positive,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
7,gabrielaaamedinaaa,2023-05-22 21:26:07+00:00,0.0,red_heart,['red_heart'],0.1033,neutral,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
7,pr_saymedia,2023-05-22 20:21:15+00:00,0.0,can you check direct,"['check', 'direct']",-0.042,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
7,20.04th,2023-05-22 20:09:37+00:00,0.0,omg smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes you are so beautiful smiling_face_with_heart eyes,"['omg', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'beautiful', 'smiling_face_with_heart', 'eyes']",0.9874,positive,"['smiling_face_with_heart', 'eyes', 'beautiful', 'amazing', 'black_heart']"
8,frederikeschut,2023-06-05 06:33:22+00:00,0.0,zo mooi black_heart white_heart,"['zo', 'mooi', 'black_heart', 'white_heart']",0.0205,neutral,"['black_heart', 'white_heart', 'amazing', 'beautiful', 'blue_heart']"
8,_jeanettemadsen_,2023-06-04 06:05:34+00:00,0.0,red_heart,['red_heart'],0.1033,neutral,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
8,maimoun_store,2023-06-04 01:54:01+00:00,0.0,wow ribbon,"['wow', 'ribbon']",0.347,neutral,"['wow', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
8,sashashviderska,2023-06-03 17:41:10+00:00,0.0,smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes']",0.728,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
8,erika_boldrin,2023-06-03 12:31:13+00:00,0.0,chic,['chic'],-0.0167,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
8,joysworld_,2023-06-03 11:21:17+00:00,0.0,perfect smiling_face_with_heart eyes,"['perfect', 'smiling_face_with_heart', 'eyes']",0.906,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
8,brunabear,2023-06-03 09:17:40+00:00,0.0,smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes']",0.728,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
8,flavia.ippoliti,2023-06-03 07:01:01+00:00,0.0,brown_heart brown_heart brown_heart,"['brown_heart', 'brown_heart', 'brown_heart']",0.0892,neutral,"['brown_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
8,rubyfranken,2023-06-03 06:26:51+00:00,0.0,mooi red_heart,"['mooi', 'red_heart']",0.2898,neutral,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
8,___leipzigrotterdam,2023-06-02 22:40:42+00:00,0.0,black_heart,['black_heart'],0.0519,neutral,"['black_heart', 'amazing', 'beautiful', 'blue_heart', 'brown_heart']"
9,handritian,2023-05-27 04:46:58+00:00,0.0,just wow red_heart,"['wow', 'red_heart']",0.8577,positive,"['wow', 'red_heart', 'amazing', 'beautiful', 'black_heart']"
9,natalyosmann,2023-05-25 22:21:55+00:00,0.0,smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands,"['smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'clapping_hands', 'clapping_hands', 'clapping_hands', 'clapping_hands', 'clapping_hands']",0.8756,positive,"['clapping_hands', 'smiling_face_with_heart', 'eyes', 'amazing', 'beautiful']"
9,stellainwonderland,2023-05-23 14:29:48+00:00,0.0,this is crazy red_heart,"['crazy', 'red_heart']",0.5231,positive,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
9,kirankkaur,2023-05-22 19:17:02+00:00,0.0,literally the audrey,"['literally', 'audrey']",-0.2652,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
9,grafinya.gorbunova,2023-05-22 10:32:35+00:00,0.0,take a picture take a picture camera_with_flash,"['take', 'picture', 'take', 'picture', 'camera_with_flash']",0.146,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
9,hayedehsabouni,2023-05-22 10:09:18+00:00,0.0,really talented star struck star struck star struck star struck smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes brilliant chic i proud of u hassanzadeh_jewelry beating_heart red_heart clapping_hands clapping_hands clapping_hands clapping_hands purple_heart blue_heart green_heart red_heart,"['really', 'talented', 'star', 'struck', 'star', 'struck', 'star', 'struck', 'star', 'struck', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'brilliant', 'chic', 'proud', 'u', 'hassanzadeh_jewelry', 'beating_heart', 'red_heart', 'clapping_hands', 'clapping_hands', 'clapping_hands', 'clapping_hands', 'purple_heart', 'blue_heart', 'green_heart', 'red_heart']",0.9684,positive,"['clapping_hands', 'smiling_face_with_heart', 'eyes', 'blue_heart', 'green_heart']"
9,hayedehsabouni,2023-05-22 10:06:21+00:00,0.0,proud of my country iran red_heart beating_heart,"['proud', 'country', 'iran', 'red_heart', 'beating_heart']",0.9736,positive,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
9,o_kovaa,2023-05-22 09:40:19+00:00,0.0,smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes']",0.728,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
9,yvonnetnt,2023-05-22 01:47:41+00:00,0.0,dizzy smiling_face_with_heart eyes,"['dizzy', 'smiling_face_with_heart', 'eyes']",0.5938,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
9,germanlarkin,2023-05-22 00:41:21+00:00,1.0,took my breath away sparkles,"['took', 'breath', 'away', 'sparkles']",0.8189,positive,"['sparkles', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
10,1djun_,2023-06-05 21:49:40+00:00,0.0,green_heart green_heart green_heart,"['green_heart', 'green_heart', 'green_heart']",0.4711,neutral,"['green_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
10,vanessaroseblair,2023-06-02 18:05:27+00:00,0.0,so lush cloud cloud cloud,"['lush', 'cloud', 'cloud', 'cloud']",0.677,positive,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
10,marijnvanheijst,2023-06-02 15:09:50+00:00,0.0,cool mom smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes,"['cool', 'mom', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes']",0.8792,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
10,whatgigiwears,2023-06-02 12:01:46+00:00,0.0,smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes']",0.8402,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
10,flavia.ippoliti,2023-06-02 11:54:19+00:00,0.0,black_heart black_heart black_heart,"['black_heart', 'black_heart', 'black_heart']",0.0494,neutral,"['black_heart', 'amazing', 'beautiful', 'blue_heart', 'brown_heart']"
10,saschabunge,2023-06-02 11:46:56+00:00,0.0,white_heart zo chic,"['white_heart', 'zo', 'chic']",0.17,neutral,"['white_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
10,fabio__montedoro,2023-06-02 10:07:40+00:00,0.0,gorgeous white_heart,"['gorgeous', 'white_heart']",0.9073,positive,"['gorgeous', 'white_heart', 'amazing', 'beautiful', 'black_heart']"
10,emmavloeimans,2023-06-02 10:04:33+00:00,0.0,smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes']",0.728,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
10,bcarven75,2023-06-02 09:32:02+00:00,0.0,love the tabis red_heart,"['love', 'tabis', 'red_heart']",0.9617,positive,"['love', 'red_heart', 'amazing', 'beautiful', 'black_heart']"
10,lindatol_,2023-06-01 23:18:07+00:00,0.0,red_heart,['red_heart'],0.1033,neutral,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
11,stylesprinter,2023-06-03 01:45:57+00:00,0.0,fire fire fire fire,"['fire', 'fire', 'fire', 'fire']",0.0806,neutral,"['fire', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
11,efde7100,2023-05-29 13:56:50+00:00,0.0,美麗警告lv celin hermes dior fendi chanel gucci 靠谱可人一百分 品质控 syy,"['美麗警告lv', 'celin', 'hermes', 'dior', 'fendi', 'chanel', 'gucci', '靠谱可人一百分', '品质控', 'syy']",-0.0646,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
11,zackanderson864,2023-05-29 10:19:32+00:00,0.0,are those melon melon real thinking_face,"['melon', 'melon', 'real', 'thinking_face']",-0.0195,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
11,nicolepoede_,2023-05-29 07:25:52+00:00,0.0,white_heart white_heart,"['white_heart', 'white_heart']",0.1146,neutral,"['white_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
11,lara_lepp,2023-05-28 23:55:55+00:00,0.0,smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes']",0.7867,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
11,official_cat,2023-05-28 10:31:26+00:00,0.0,this look red_heart,"['look', 'red_heart']",0.3535,neutral,"['look', 'red_heart', 'amazing', 'beautiful', 'black_heart']"
11,eleonora.yb,2023-05-28 03:28:43+00:00,0.0,шикарная,['шикарная'],-0.1101,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
11,kristianlaliberte,2023-05-28 01:38:39+00:00,1.0,fire fire fire,"['fire', 'fire', 'fire']",0.0278,neutral,"['fire', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
11,julluce,2023-05-27 19:27:45+00:00,0.0,red_heart fire просто невероятная,"['red_heart', 'fire', 'просто', 'невероятная']",-0.1339,neutral,"['fire', 'red_heart', 'amazing', 'beautiful', 'black_heart']"
11,k_s_salon,2023-05-27 16:12:04+00:00,0.0,fire fire fire,"['fire', 'fire', 'fire']",0.0278,neutral,"['fire', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
12,roosebregt,2023-06-03 07:57:43+00:00,0.0,smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes']",0.7867,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
12,olssonjensen,2023-06-02 19:36:09+00:00,0.0,dream thought_balloon,"['dream', 'thought_balloon']",0.0487,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
12,8989cha,2023-06-02 18:35:13+00:00,0.0,red_heart donkey,"['red_heart', 'donkey']",-0.2388,neutral,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
12,frederikeschut,2023-06-01 21:18:09+00:00,0.0,love white_heart white_heart,"['love', 'white_heart', 'white_heart']",0.8825,positive,"['white_heart', 'love', 'amazing', 'beautiful', 'black_heart']"
13,momsetproject,2023-05-29 20:07:13+00:00,0.0,white_heart,['white_heart'],0.1141,neutral,"['white_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
13,_legroni,2023-05-24 22:55:12+00:00,0.0,i feel this post,"['feel', 'post']",-0.1915,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
13,theceiling.shop,2023-05-24 11:35:42+00:00,1.0,coin coin coin,"['coin', 'coin', 'coin']",0.104,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
13,brigitte.tellier,2023-05-24 09:05:27+00:00,1.0,,[],0.0321,neutral,[]
13,mightymaitie,2023-05-24 08:00:43+00:00,1.0,is dat een gouden mossel aan je sleutelbos spiral_shell oyster intrigued,"['dat', 'een', 'gouden', 'mossel', 'aan', 'je', 'sleutelbos', 'spiral_shell', 'oyster', 'intrigued']",-0.009,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
14,wilsonjunior5055,2023-05-31 16:42:23+00:00,0.0,hey dm me,"['hey', 'dm']",0.0963,neutral,"['dm', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
14,erika_boldrin,2023-05-30 19:24:05+00:00,0.0,you smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes']",0.696,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
14,cottoncake_,2023-05-26 20:08:26+00:00,0.0,smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes']",0.728,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
14,saschabunge,2023-05-26 09:33:37+00:00,0.0,sparkling_heart chic,"['sparkling_heart', 'chic']",0.1962,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
14,cortnebonilla,2023-05-25 22:32:31+00:00,0.0,these jeans truly are perfect,"['jeans', 'truly', 'perfect']",0.9745,positive,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
14,azarakhsh_akbari,2023-05-25 20:49:10+00:00,0.0,knapste mama beating_heart,"['knapste', 'mama', 'beating_heart']",0.0326,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
14,hannamw,2023-05-25 20:13:19+00:00,0.0,youuuu red_heart,"['youuuu', 'red_heart']",0.5137,positive,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
14,maimoun_store,2023-05-25 19:47:15+00:00,0.0,red_heart red_heart red_heart,"['red_heart', 'red_heart', 'red_heart']",0.2744,neutral,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
14,caitlin__wheeler,2023-05-25 19:45:49+00:00,0.0,hiii where are these sunglasses from smiling_face_with_sunglasses,"['hiii', 'sunglasses', 'smiling_face_with_sunglasses']",0.0442,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
