post_id,timestamp,ownerUsername,type,caption,hashtags,likesCount,commentsCount,image
11,2023-05-26 12:43:54+00:00,maryleest,Sidecar,Last red carpet in Cannes for “Asteroid City” by Wes Anderson 🤎 Dress @marmarhalim tailored by @saifffoux  Jewelry @yessayan @monaelhajj2377 @amarsana_style Hair @balmainhaircouture Makeup @narsissist  @the_frntal_pr,,27133,144,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/349052526_815837880054676_5221860881960127237_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=IS_kEH0WPwkAX-GTqHb&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfD-oCc2pUczIKLe8WVdH5YwFY0XbAqRB3PCg7peKpsKAw&oe=648385E4&_nc_sid=8721cf
12,2023-05-31 18:38:50+00:00,stephaniebroek,Sidecar,Villa Magnan <33333,,725,30,https://scontent-man2-1.cdninstagram.com/v/t51.2885-15/350432376_163157846555189_3349882497193857929_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=5_o-QqrXMLIAX-z87-Q&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBySSzEwQ5r7EC8guhFL9frcSnISOSaEJAzw6lVDukg2g&oe=6483ACFC&_nc_sid=8721cf
13,2023-05-23 18:51:43+00:00,stephaniebroek,Sidecar,"The feminine urge to reinvent yourself during the change of seasons. @himichelleli recently talked about how she has been scared of her closet because she felt weird in her body. Couldn’t relate more atm. While she tried to re-familiarize herself with her own clothing again, I took myself on a vintage/skincare/magazine date. Obsessed over a silver archival Escada jacket and capri pleats @theceiling.shop. Was wowed by @san.serriffe selection of books and magazine. And promised myself to never leave the house without applying @paulaschoicenl new SPF50 ever again",,1618,37,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/348293341_1719757705145390_3227928778537418432_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=kaLtwJi_tksAX_aeqKl&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAsf9A06SHfmYeSlxfG-FOtFJfGY4bASQu17GBrUI8NFg&oe=6485659A&_nc_sid=8721cf
14,2023-05-24 18:27:22+00:00,stephaniebroek,Sidecar,Never not searching for the perfect jeans to add to my wardrobe. May have found the perfect low rise subtle y2k wash @samsoesamsoe </3  /ad,,1271,47,https://instagram.fbud4-1.fna.fbcdn.net/v/t51.2885-15/348858329_1296909351252665_4314851257263086487_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fbud4-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=xqfz0Ycop6sAX97NZvv&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAZiw8x5SfJYMMzk9rvU9OYPWxUlM4GjKSqV1pz8r351A&oe=64855E96&_nc_sid=8721cf
15,2023-05-23 10:49:35+00:00,maryleest,Sidecar,Wearing custom couture flower dress for “Killers of the Flower moon” during Cannes Film Festival ❤️ Dress @tatyanakochnova_official Jewelry @hassanzadeh_jewelry Shoes @casadeiofficial Hair @balmainhaircouture Makeup @thetatithunder @narsissist @the_frntal_pr,,31144,163,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/348271060_1983752701962343_828019425593889219_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=qQ-HPBpXqwMAX-kLMEC&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfANGpO6o6EZ9kNoDiDnDYTr-duAVa2dNd1SaRb66QVuZQ&oe=6483FA26&_nc_sid=8721cf
16,2023-04-23 19:52:12+00:00,tinaabeysekara,Sidecar,"Save this one! 1 white tee, 6 effortless looks 🥰  Little homage to the @uniqlo U Crew Neck tee. Not sponsored, just a good basic!  #whitetshirtoutfits #Uniqlo #weekendoutfit","whitetshirtoutfits, Uniqlo, weekendoutfit",2364,71,https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/342374305_190741983813975_8475247735715402221_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=103&_nc_ohc=z1X56bc_5uwAX_CCMRh&edm=AP_V10EAAAAA&ccb=7-5&oh=00_AfCAR003G44ae0kXkvUX6iGGHxmlQwpY37cpcoCJ2Wskcg&oe=6484471C&_nc_sid=8721cf
17,2023-05-10 19:16:22+00:00,stephaniebroek,Sidecar,"me BC (Before Cruise) this morning. CE (Cruise Era) me would have worn this @chanelofficial tee with hotpants (or just high-cut leg bikini bottoms), leg warmers, hoops, trainers, and CC logo dumbbells, as suggested by @virginieviard #CHANELCruise #CHANELShow","CHANELCruise, CHANELShow",1042,26,https://instagram.fyto1-1.fna.fbcdn.net/v/t51.2885-15/345986582_268963942220834_6197524140789076389_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fyto1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=HMR7vAzLeDUAX_ThFcQ&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBPRV2pfB_SWY3CMaZ_2tloMhHK6sjBu58ejNF1HNUyKA&oe=64843042&_nc_sid=8721cf
18,2023-05-14 18:43:00+00:00,stephaniebroek,Sidecar,"New level in life unlocked: motherhood. Thank you for making me a mother when I least expected it. The most curious, giggly, expressive little girl. Wearing her future heirloom, the Tiffany Lock bracelet. One day it will be hers 🔒 @tiffanyandco #TiffanyAndCo #TiffanyLock @tiffany_blauw","TiffanyAndCo, TiffanyLock",4162,234,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/346441568_602576035170362_8838644701838263223_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=XY--z-YG4a0AX_g0ebt&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDlYxIp0L-9WbIX7NUOjTivJimzLiBzNrXQeva7vpXqAw&oe=6484E7DE&_nc_sid=8721cf
19,2023-05-07 18:25:02+00:00,stephaniebroek,Sidecar,caprani @gubiofficial,,1396,44,https://scontent-man2-1.cdninstagram.com/v/t51.2885-15/344879578_6141909395846010_5662892048204450683_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=KA0wNS0H8J4AX-P2KR_&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfC2lhZ1glBoKa_VMRkPxLVSHFJKndiYaQKcG57KzpoSBQ&oe=6484765C&_nc_sid=8721cf
20,2023-05-05 14:37:51+00:00,stephaniebroek,Sidecar,something blue <3,,1804,47,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/345029211_199708776212008_9214366874250512412_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=104&_nc_ohc=U7A-wWk9VCUAX8jem4s&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAtHmp-tCwp2GsQ5hsYuF4AZYopi85t0H2rtuIYF1J-Aw&oe=64843E1D&_nc_sid=8721cf
21,2023-05-21 18:55:47+00:00,gisele,Sidecar,"I used to think how can I make a difference? I am just one person in this enormous world and there is just too much to do, but early on I understood that to amplify change it is essential to join forces and that trough dedication and collaboration everything is possible. From the bottom of my heart, I want to thank everyone who was at the Luz Alliance Gala yesterday, helping us to support nature. Together we were able to raise funds that will be help so many people and projects in Brazil. A special thanks to the amazing @ivetesangalo , @robinrobertsgma , @ingridsilva and @brazilfound .  As Desmond Tutu said: “Do your little bit of good where you are; it's those little bits of good put together that overwhelm the world.” ❤️🙏✨   Costumava pensar: Como posso fazer a diferença? Sou apenas uma pessoa neste mundo enorme e há tanto para ser feito, mas desde cedo percebi que para amplificar a mudança é fundamental unir forças e que através da dedicação e colaboração, tudo é possível. Do fundo do coração, quero agradecer a todos os que estiveram ontem na Gala da Luz Alliance, ajudando-nos a apoiar a natureza. Juntos conseguimos arrecadar fundos que vão ajudar muitas pessoas e projetos no Brasil. Um agradecimento especial às incríveis @IveteSangalo, @RobinRobertsGMA, @IngridSilva e @brazilfound. Como disse Desmond Tutu: “Faça o seu pouco de bem onde você estiver; são esses pequenos pedaços de bem juntos que inundam o mundo.”",,360447,2720,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/347851213_761326392158681_807280506740109951_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=hxbjqaLT2HAAX_iwgSN&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBj6ZCstr3yyD-GN457XXg0CzAk5l3ntc6xWlUiJVn-bA&oe=6484AA05&_nc_sid=8721cf
22,2023-06-05 14:49:32+00:00,gisele,Sidecar,"Mother Nature is our greatest teacher. She shows us that everything is interconnected and interdependent. Her power comes from her diversity and it depends on it for its  survival. Just like with people, our differences are our strengths, and we get stronger when we work together.  Nature doesn’t judge or divide. She nurtures. She reminds us that every form of life is sacred, and important, and has its own special role in creating balance, so all of life can flourish. Nature has the answers--and by observing her, and mirroring back her example, we can all thrive. This is our home, and our choices create our future.  #WorldEnvironmentDay 🌳❤️ 🌎  A Mãe Natureza é a nossa maior professora. Ela nos mostra que tudo está interligado, interconectado. Seu poder vem de sua diversidade e ela depende disso para sobreviver. Assim como com as pessoas, nossas diferenças nos complementam e nos tornamos mais fortes quando trabalhamos juntos.
A natureza não julga ou divide. Ela nutre. Ela nos lembra que toda forma de vida é sagrada e importante, e tem seu papel fundamental para trazer equilíbrio para que toda a vida possa florescer. A natureza tem muitas respostas - e, observando-a e seguindo seu exemplo, podemos todos prosperar.
Esta é a nossa casa - e as nossas escolhas criam nosso futuro. #DiaMundialdoMeioAmbiente","WorldEnvironmentDay, DiaMundialdoMeioAmbiente",420347,2504,https://instagram.fcai20-1.fna.fbcdn.net/v/t51.2885-15/351100666_574938601390076_1010974362413851871_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fcai20-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=B-alMigYzV0AX9mL_FI&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfC4B65H9fBKHgiZBTelL36niA8_Wd_4jvJKiP0CJvnzuQ&oe=6484EEE3&_nc_sid=8721cf
23,2023-05-14 22:12:36+00:00,gisele,Sidecar,"Happy Mother’s Day to all the mom’s out there who with their infinite love can move mountains. Sending you all my love and reverence, especially to my mom , my wonder woman, a warrior who raised six daughters with so much love and care. Love you, mom! ❤️ Feliz Dia das Mães para todas as mamães que com seu amor infinito podem mover montanhas. Envio a vocês todo meu amor e reverência, especialmente para minha mãe, minha mulher maravilha, uma guerreira que criou seis filhas com tanto amor e carinho. Te amo mãe!",,634005,2259,https://instagram.fsaw2-1.fna.fbcdn.net/v/t51.2885-15/347074540_1713358559110802_4321132926504671931_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsaw2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=AOiKHLKZBVUAX8RRsjc&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBlCDu6JL8W83jz955Y9eU2vNmY0y51FH6t-0GgpiKxCA&oe=64846329&_nc_sid=8721cf
24,2023-05-02 19:32:40+00:00,gisele,Sidecar,"Being back at the Met Gala to honor Karl and his incredible body of work was very special. I feel grateful that I got to know him and had the privilege of  working with him to create so many memories throughout the years. He is dearly missed by so many but his legacy lives on forever. Thank you @Chanelofficial , @GeorgeCortina @DavidVoncannon @Georgisandev  @ashlie_johnson For getting me ready for this amazing night. ✨  Estar de volta ao Met Gala para homenagear Karl e seu incrível trabalho foi muito especial. Me sinto muito grata por tê-lo conhecido e ter tido o privilégio de trabalhar com ele e ter criado tantas boas memórias ao longo dos anos. Ele faz muita falta, mas seu legado será eterno. Obrigada @Chanel, @GeorgeCortina @DavidVoncannon @Georgisandev @ashlie_johnson por me preparar para esta noite tão especial.",,1343038,16342,https://instagram.fuio21-1.fna.fbcdn.net/v/t51.2885-15/344378046_197820433051298_7330485398090903153_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fuio21-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=19xKlvP5PCoAX-NxU7X&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBB92X2PP9Cqop2MfLk0XYMx0PzHo3ol8qwNtQ_vNoipw&oe=6484A7FE&_nc_sid=8721cf
25,2023-05-04 16:43:31+00:00,gisele,Sidecar,Who is ready for summer?! New @jimmychoo campaign! #JimmyChoo ✨✨✨ Nova campanha de verão da Jimmy Choo.,JimmyChoo,641945,5461,https://scontent-man2-1.cdninstagram.com/v/t51.2885-15/344594938_641546734464402_4440685380304732671_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=4Sraae9nha0AX-o9QdA&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCaAu2j9m2CWDQuZZUBfq4jfllQX_Jfo1WsA4ClH8ik7g&oe=64852059&_nc_sid=8721cf
26,2023-04-26 18:23:39+00:00,gisele,Sidecar,"I have no words to express my gratitude for places like the @lotushouseshelter , the largest women's shelter in America, as they provide a haven that allows women and children to heal, reclaim their lives, and build a foundation for the future. I am grateful to help fund the building of the new Children's Village, which will bring education and play, creating new possibilities for children in need. ❤️ Não tenho palavras para expressar o quão grata sou por lugares como a @lotushouseshelter , o maior abrigo para mulheres da América, pois fornecem um refúgio seguro, que permite que mulheres e crianças possam recuperar suas vidas e construir uma base para o futuro. Sou grata por poder ajudar a financiar a construção da nova “Aldeia das Crianças”, um lugar que trará educação e diversão, criando novas possibilidades para as crianças carentes.",,115366,1446,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/343257184_2144698172390785_2754186916958169480_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=3750yRJoF6oAX_wILpj&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfA3BNSGgVrhvr2vBOJ1my9zwCJ_GrHB9C6lZRRo6y-b_A&oe=6483F70E&_nc_sid=8721cf
27,2023-06-02 01:50:26+00:00,rhyancaminske,Sidecar,"Happy June!!   Loving these Amazon tanks for the summer. They come in a pack of 3, multiple color options.   #amazonfinds #amazonstyle #summeroutfit #croppedtank #amazonfashion #jeanshorts #levisshorts #casualstyle #everydaystyle #streetstyle #everydayoutfit #momstyle #liketoknowit #liketoknowitstyle #outfitidea #outfitideas #simplestyle #ootd #hairgoals #haircolorinspo #blondehighlights #blondebabylights #haircolorgoals #hairgrowth #blondehaircolor #hairsupplements   Follow my shop @rhyancaminske on the @shop.LTK app to shop this post and get my exclusive app-only content!  #liketkit  @shop.ltk https://liketk.it/4aAPK","amazonfinds, amazonstyle, summeroutfit, croppedtank, amazonfashion, jeanshorts, levisshorts, casualstyle, everydaystyle, streetstyle, everydayoutfit, momstyle, liketoknowit, liketoknowitstyle, outfitidea, outfitideas, simplestyle, ootd, hairgoals, haircolorinspo, blondehighlights, blondebabylights, haircolorgoals, hairgrowth, blondehaircolor, hairsupplements, liketkit",206,21,https://scontent-muc2-1.cdninstagram.com/v/t51.2885-15/350829429_1197162557624362_5104218778530336668_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=YRvZ07jhVBgAX_e82EC&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAjnn4at6qnwWXlyZ38ANK0wnrWL6JkJsDOuSbK6G5FSQ&oe=6485081C&_nc_sid=8721cf
28,2023-05-15 02:06:35+00:00,rhyancaminske,Sidecar,The ones that call me Mom 🤍,,209,10,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/346517748_209087111892582_5002795130111197135_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=X5o4vIKgwzYAX_lMhH2&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBz2pDRNnO41t1cz64wWEvz17ZcOYqSyGpOTB4ZxXEDiw&oe=64847107&_nc_sid=8721cf
29,2023-05-30 00:21:55+00:00,rhyancaminske,Sidecar,❤️🤍💙,,171,6,https://instagram.fsjk2-1.fna.fbcdn.net/v/t51.2885-15/350314330_263587692746457_806776420626279086_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsjk2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=i4UrK9eSdRMAX8Lz3GA&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDONGxYFnSz0FaHxBV8mOyMnUYQh69V254fPhO07J6WnQ&oe=64839D5D&_nc_sid=8721cf
30,2023-05-17 12:36:01+00:00,rhyancaminske,Sidecar,"Conference things 👩🏼‍💻 A ton of talking, walking, granola bars and the hottest cocktail hour ever.   The MVPs were my loafers. They were so comfortable and super cute! Second were the work pants, I need them in every color!  . . .  #workclothes #workpants #officeoutfit #workoutfit #blazer #workoutfitideas #workflats #loafers #oldnavyfinds #worktravel #worktrip #womensworkpants #womensworkwear #casualstyle #everydaystyle #streetstyle #everydayoutfit #liketoknowit #liketoknowitstyle #outfitidea #outfitideas #simplestyle #ootd #workshoes   Follow my shop @rhyancaminske on the @shop.LTK app to shop this post and get my exclusive app-only content!  #liketkit  @shop.ltk https://liketk.it/49qM2","workclothes, workpants, officeoutfit, workoutfit, blazer, workoutfitideas, workflats, loafers, oldnavyfinds, worktravel, worktrip, womensworkpants, womensworkwear, casualstyle, everydaystyle, streetstyle, everydayoutfit, liketoknowit, liketoknowitstyle, outfitidea, outfitideas, simplestyle, ootd, workshoes, liketkit",122,13,https://instagram.fbog3-1.fna.fbcdn.net/v/t51.2885-15/347059058_6196496940463377_6610676689975045662_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fbog3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=a2UUA81KdvUAX-SrWov&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCw1xIUBt-luS-tR-ybrQwKQ2lVZNgsBLNYC3X-46IbJg&oe=6483D728&_nc_sid=8721cf
31,2023-06-05 17:44:13+00:00,rhyancaminske,Sidecar,Mondays are great when you love your job 🩶 I’ve been in my new role for 5 months and I have never been happier in my career. I remember I was SO nervous I was making the wrong decision (full blown meltdowns 😩) and now I’m just annoyed I didn’t make the change sooner!  . . Happy Monday everyone!!  . Here are the shoes I’ve been loving for work and just everyday wear.  . .  #businesscasual #workclothes #workoutfit #worktravel #businesstravel #workshoes #workclothes #carryon #carryonsuitcase #blazeroutfit #sales #salescareer #casualstyle #everydaystyle #streetstyle #everydayoutfit #momstyle #liketoknowit #liketoknowitstyle #outfitidea #outfitideas #simplestyle #ootd   Follow my shop @rhyancaminske on the @shop.LTK app to shop this post and get my exclusive app-only content!  #liketkit  @shop.ltk https://liketk.it/4aOag,"businesscasual, workclothes, workoutfit, worktravel, businesstravel, workshoes, carryon, carryonsuitcase, blazeroutfit, sales, salescareer, casualstyle, everydaystyle, streetstyle, everydayoutfit, momstyle, liketoknowit, liketoknowitstyle, outfitidea, outfitideas, simplestyle, ootd, liketkit",101,11,https://instagram.frba2-1.fna.fbcdn.net/v/t51.2885-15/351837969_1521571391710872_354494654714338158_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.frba2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=UYaW43rPBPcAX-074XB&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBfIgPoEPMrbqaH2tveTlT6RHChhhxoaA6paO_AtJ-8EA&oe=648560A5&_nc_sid=8721cf
